"","CN1","CN2","CN3","CV1","CV2","CV3","EM1","EM2","EM3"
"ENSG00000000003",91.3394753378936,75.4751022920713,79.1062078304825,122.083500270456,100.876492378507,79.3100522520162,96.33339052459,94.8280929279282,83.4305467708736
"ENSG00000000419",23.6498024033741,26.4036376303236,40.9092110447144,23.5115168670413,36.5450365389294,49.5735938665032,17.4772211875293,22.4182680201724,27.5839120805285
"ENSG00000000457",12.264380545446,10.9162975746971,11.6939296837586,13.4364680546815,10.9989237546465,12.6461024211734,15.5964458395332,13.4405712870759,14.5042391203807
"ENSG00000000460",4.54934446160869,3.86976092221323,2.96656136467112,4.88322555879248,3.34608759840203,2.36687730880754,4.47482935428026,4.31899703297103,2.65377415618591
"ENSG00000000938",6.74680016737042,11.0313837262376,12.2838971476343,6.20758660261773,13.6725411544759,15.6536608789055,7.35755456548655,7.70877943868895,9.77457728694694
"ENSG00000000971",1919.57775718354,1586.54179869288,1576.46132959826,2799.37812929012,2100.95482394153,1622.34300886229,1956.76117778682,1738.38063352771,1495.08365608985
"ENSG00000001036",47.4320948599287,39.8358892079818,49.0517249633716,48.9159016370887,43.3990123609182,49.4698325548367,51.6968905472925,51.0461930130386,48.2852457961788
"ENSG00000001084",101.022375450271,111.096763205075,148.659030216042,105.491154424654,166.613902920616,191.966529703095,87.7949016336092,107.370276575267,133.860463616523
"ENSG00000001167",12.0885403898987,16.2905453471173,15.6777283308976,10.8516577681326,16.3912028652501,15.3332076204789,10.9034395864465,14.2884800160294,19.02295765768
"ENSG00000001460",1.79147712295648,2.06104406270131,1.93412607610208,1.57355946030718,1.25225654560493,1.50933176338754,1.32813044462958,1.37197473873403,1.47915975018201
"ENSG00000001461",7.55949987041943,6.39759536914531,7.26339321229919,8.6210274287721,5.330814296402,6.25526108189334,8.44391834949522,6.16812942012485,6.22273271690764
"ENSG00000001497",20.786089776484,18.2069588912901,19.185182815165,19.3192547664696,16.9466325286842,18.9862678502072,20.7184090104836,19.0737299716691,19.9710514713988
"ENSG00000001561",18.3248784768948,16.1487385294203,17.6447185157454,20.0693729189394,19.6501871107633,21.3032589274738,21.6211999119042,19.5229638934589,18.2122186099765
"ENSG00000001617",7.13889876024117,11.1912702855493,13.000301312542,6.6103654131658,12.9153991661476,21.4559054462155,7.884125213271,10.1490009128341,13.9987250819828
"ENSG00000001626",5.11819774930588,6.84779862053135,4.23417359717602,4.11635894709727,5.90134482758138,4.12063249567597,3.47283430040204,3.38407078053689,2.66840925606891
"ENSG00000001629",21.6560132313682,21.6771645994599,25.278037196489,22.8125971368127,21.5711708125657,26.27666682877,20.6357607718484,18.8235488325771,19.9676420335619
"ENSG00000001630",19.9953925327213,12.5358267497994,10.4420231853833,19.5446886633887,24.0910331608314,20.209924668076,14.8297257542051,19.170543589825,13.5893423427749
"ENSG00000001631",4.33994234867727,4.22465127877918,3.49821945356879,4.20591373596417,3.43566853547226,3.29163239171942,4.16242061473555,3.60782975536346,4.01363199138415
"ENSG00000002016",4.35064413932709,4.68572527801832,3.49333614581658,3.91984883941505,3.41263447166373,2.8367002002301,3.69640860682475,3.82092630113171,4.25850305658222
"ENSG00000002330",8.10495165480621,7.83790110167904,6.65679795004418,8.09620774358161,7.61698135171471,6.48406479996323,12.4239035653979,11.0697532105755,9.69206514714202
"ENSG00000002549",148.416614441515,135.426447059856,163.590622776362,150.216462830095,146.522013020577,189.404654465615,197.963003268205,183.201005577524,190.48155341958
"ENSG00000002586",115.721817034835,107.413515434221,112.773192280149,156.498969971412,148.329963520938,143.607482171492,127.178386343356,132.210090390474,121.0919045902
"ENSG00000002587",0.60786423736173,0.912750128676658,1.13315140668533,0.44744752233921,1.015977350696,1.8590430047399,0.528885257794916,0.498663529824838,1.1343756681429
"ENSG00000002726",5.10238320633696,3.9372285139249,3.76838324239041,6.58823326242893,4.84239603080106,3.48133208183615,5.63466900361119,4.91423048470615,3.73057701302719
"ENSG00000002822",0.193284288176364,0.285416140765622,0.20594787223912,0.286648668109296,0.282890843185931,0.153104228510881,0.230494559134176,0.252661842621944,0.385078013952868
"ENSG00000002834",138.938005022945,127.526919294127,121.12139839468,124.817265686376,121.378033219245,135.09419374279,131.570552588322,128.365923670275,126.903630240227
"ENSG00000002919",11.9627110527266,10.9748210164355,12.9638539168702,12.1566209130125,11.6841212102452,14.1244341427281,12.1241468335017,10.5381613341273,12.335235729606
"ENSG00000002933",642.571360483902,514.577258511289,505.789958493345,742.186788764725,636.510966136939,493.280145571247,531.507865650792,517.126679288209,470.938691285849
"ENSG00000003056",36.2577226178747,35.1532139368767,35.3554871161143,40.9043805691356,38.1150805451764,45.59815167145,39.4327650339461,35.4728108354612,37.105433158837
"ENSG00000003096",3.82179732952794,3.54421534105394,3.68252785356379,2.79560010129654,3.20316308913104,2.46091944753248,2.92393452366472,2.25180524265271,2.12898986722163
"ENSG00000003137",1.1160530513252,1.33874587107541,1.80916750177508,1.28675087233427,1.30507655613445,1.609633113779,3.16691334427292,2.41488041409553,5.49846368630748
"ENSG00000003147",6.87174788623284,6.46750645250221,5.763537731607,5.9023998892281,4.73827377155998,3.9136667794563,9.20630043513719,8.37909102041862,8.17951442755123
"ENSG00000003249",4.38471989996995,3.74044982452511,9.13875776283257,4.25157274362107,3.53100538614867,5.68759609305385,4.86451780090176,4.63430872216754,6.23825737320411
"ENSG00000003393",37.00518727744,34.6463973145866,35.7393667798595,46.0499018585746,45.331353417112,46.0812797639124,43.9180493928781,41.5553105504215,36.9415644689101
"ENSG00000003400",10.7027124696376,12.889895130639,12.565991060167,10.5752370584897,11.0401706314806,13.7327241692377,11.3342463020642,10.7832415452962,12.1307138307569
"ENSG00000003402",70.0451518645625,92.9942429495399,107.10307735657,84.1138218219403,131.07853387748,151.286631175724,98.9200843725919,108.665476512689,108.313459086536
"ENSG00000003436",143.787637095354,151.050511082802,218.418100137417,207.389010883081,211.863472553531,339.264385744513,181.524245131188,194.681839418153,244.493493260239
"ENSG00000003509",10.2755262421423,9.03588570892088,12.0093197544621,13.9819703979526,11.938870502617,13.9597115288702,10.3910561635686,11.1874988415247,10.5675302516518
"ENSG00000003756",26.1896362232249,26.9985488799627,21.4773019686754,23.5503552894521,23.8932836588676,22.1689977120268,23.0825360113319,25.8526735720567,22.5931397531757
"ENSG00000003987",1.1154221674915,0.958655794873034,1.36928323650046,1.21382313344469,1.33087800335427,1.39914632133853,0.756549247037507,0.881651411975358,1.07126492885529
