"","x"
"1","NOD1"
"2","RCN3"
"3","PAMR1"
"4","FKBP10"
"5","ECM1"
"6","DGKA"
"7","STARD9"
"8","COL14A1"
"9","SVEP1"
"10","COL1A2"
"11","SYT11"
"12","ANTXR1"
"13","CLEC11A"
"14","ZNF233"
"15","EPHA3"
"16","C16orf54"
"17","PDZD2"
"18","SLFN13"
"19","ITGA11"
"20","RIMKLB"
"21","AGAP2"
"22","ENSG00000287263"
"23","ARHGEF3"
"24","ITM2A"
"25","ROBO1"
"26","FAM110A"
"27","ZNF14"
"28","SH2D3C"
"29","ARAP3"
"30","ANKRD13D"
"31","GSTP1"
"32","GNA14"
"33","ZNF366"
"34","CEP135"
"35","MEI1"
"36","CLSTN1"
"37","TIMP2"
"38","NRGN"
"39","IGHM"
"40","RAMP2"
"41","ADCY4"
"42","MEF2C"
"43","FLT4"
"44","DISC1"
"45","F2R"
"46","PTPRN2"
"47","TP53I11"
"48","RECK"
"49","MAPK12"
"50","CRACR2B"
"51","CXCL12"
"52","RBP1"
"53","ARHGAP45"
"54","CPT1C"
"55","PCDH17"
"56","ARHGAP15"
"57","NPDC1"
"58","MYCT1"
"59","PCDH7"
"60","PDZD4"
"61","IGFBP3"
"62","ARHGAP27"
"63","GNLY"
"64","IGHV3-53"
"65","NKG7"
"66","ZNF300P1"
"67","CEP290"
"68","CYSLTR2"
"69","SYCP2"
"70","HOXA-AS2"
"71","CLEC4M"
"72","NCR3"
"73","ZNF532"
"74","PHIP"
"75","ENSG00000274712"
"76","SPN"
"77","CCDC80"
"78","PRR5L"
"79","ZAP70"
"80","DAB2"
"81","KCNH7"
"82","LSP1"
"83","PSTPIP1"
"84","PASK"
"85","NLRC3"
"86","SYTL1"
"87","WIPF1"
"88","ATP2A3"
"89","DEF6"
"90","B3GNT9"
"91","MAP4K1"
"92","MRC2"
"93","S1PR4"
"94","CD3G"
"95","EOMES"
"96","MATK"
"97","IFI44L"
"98","CARMIL2"
"99","LCK"
"100","ZNF43"
"101","CCDC88B"
"102","RASAL3"
"103","NIPSNAP3B"
"104","LRRC37A4P"
"105","LPAR6"
"106","ACAP1"
"107","SAMD3"
"108","CTSW"
"109","CD3E"
"110","TRGC2"
"111","GDPD5"
"112","MFAP4"
"113","ITGA4"
"114","PCED1B-AS1"
"115","SNX20"
"116","F2RL2"
"117","GMFG"
"118","GNG11"
"119","FLI1"
"120","LTK"
"121","FCN3"
"122","JAM2"
"123","RIPOR2"
"124","AKR1E2"
"125","GNG2"
"126","BMPER"
"127","LHFPL6"
