"","x"
"302","GZMA"
"303","NKG7"
"304","CLEC10A"
"305","RYR1"
"306","PTGDR"
"307","KLRG1"
"308","PPP2R2B"
"309","ITGAL"
"310","PLAC8"
"311","ARHGAP9"
"312","MST1P2"
"313","SGCD"
"314","SOWAHD"
"315","GPR65"
"316","TBC1D10C"
"317","APOBEC3C"
"318","IL16"
"319","TMC8"
"320","INPP5D"
"321","ARHGAP25"
"322","ADCY7"
"323","PARVG"
"324","FYB1"
"325","LIMD2"
"326","ARHGAP4"
"327","PLCB2"
"328","CABP4"
"329","IGHV3-30"
"330","IGLV2-11"
"331","MYL5"
"332","CIITA"
"333","IL2RB"
"334","CD69"
"335","TAGAP"
"336","KCNA3"
"337","GUSBP9"
"338","HLA-F-AS1"
"339","TRAC"
"340","THEMIS"
"341","TRBC2"
"342","CD3E"
"343","TRBC1"
"344","PIK3CG"
"345","ENSG00000259834"
"346","SH2D1A"
"347","CARD16"
"348","CTSW"
"349","CD96"
"350","PTPN7"
"351","CARD11"
"352","IFI44L"
"353","SAMD9L"
"354","CARMIL2"
"355","ACAP1"
"356","CCDC88B"
"357","ZAP70"
"358","SYTL1"
"359","PSTPIP1"
"360","RASAL3"
"361","LCK"
"362","BCL11B"
"363","SAMD3"
"364","GPR174"
"365","FCRL6"
"366","CD3G"
"367","ENSG00000262370"
"368","ANXA2R"
"369","REC8"
"370","MBL1P"
"371","FASLG"
"372","LY9"
"373","TRGC1"
"374","ENSG00000230202"
"375","IFI6"
"376","NYNRIN"
"377","SMPD3"
"378","HMCN1"
"379","LINC01488"
"380","RBMS3-AS3"
"381","BTN3A1"
"382","TMC3"
"383","TMC3-AS1"
"384","INTS3"
"385","UBA7"
"386","ENSG00000228477"
"387","ENSG00000203900"
"388","ALOX15P1"
"389","SEPTIN4-AS1"
"390","NCKAP5-AS2"
"391","ENSG00000224307"
"392","SLITRK6"
"393","IFT140"
"394","TMEM94"
"395","ENSG00000271420"
"396","CNPY4"
"397","ZER1"
"398","ARVCF"
"399","ENSG00000233110"
"400","RWDD3"
"401","ZSWIM9"
"402","ZBTB25"
"403","CEP57L1"
"404","ENSG00000286721"
"405","GPBAR1"
"406","PCED1B"
"407","TTBK1"
"408","C9orf139"
"409","ENSG00000265743"
"410","ENSG00000284709"
"411","FAM198B-AS1"
"412","GNRHR2"
"413","EHMT2"
"414","THAP8"
"415","TLR6"
"416","ZNF684"
"417","RNF20"
"418","CCR2"
"419","IGIP"
"420","ZNF248"
"421","ATM"
"422","CUL9"
"423","TEX21P"
"424","CCDC146"
"425","ADCK5"
"426","NADSYN1"
"427","ENSG00000280114"
"428","SPPL2B"
"429","HEXD"
"430","DOCK8"
"431","FGF1"
"432","PIEZO2"
"433","PHOSPHO1"
"434","ZNF467"
"435","CRTC1"
"436","EID1"
"437","NUCKS1"
"438","RCCD1"
"439","TMEM175"
"440","HIRIP3"
"441","GALE"
"442","H1-10"
"443","CTDSP1"
"444","ENSG00000260274"
"445","MDM1"
"446","ENSG00000273084"
"447","ENSG00000261572"
"448","SP2-AS1"
"449","CEP41"
"450","CBY1"
"451","LINC00467"
"452","RPS10P7"
"453","ENSG00000224536"
"454","AARS2"
"455","C20orf27"
"456","DGAT2"
"457","HTR7P1"
"458","PPIP5K1"
"459","ENSG00000285676"
"460","ZCRB1"
"461","TLR10"
"462","ENSG00000281181"
"463","ZNF491"
"464","ZNF606"
"465","ZNF594"
"466","ZFP62"
"467","KRBA2"
"468","HPN-AS1"
"469","TRPV1"
"470","ZNF429"
"471","ZNF605"
"472","GVQW3"
"473","LINC00939"
"474","ZNF780B"
"475","SARM1"
"476","ENSG00000229689"
"477","ZNF671"
"478","RNA5SP163"
"479","ENSG00000267102"
"480","ENSG00000259972"
"481","LINC02153"
"482","CD200R1"
"483","NPL"
"484","SLC7A8"
"485","CX3CR1"
"486","RN7SL138P"
"487","ZNF85"
"488","TNFRSF17"
"489","FCRLB"
"490","CETN3"
"491","NMUR1"
"492","CKMT2"
"493","GIMAP7"
"494","GIMAP1"
"495","GIMAP4"
"496","GIMAP8"
"497","ENSG00000261211"
"498","TNFSF12"
"499","ZNF19"
"500","ZNF624"
"501","ZBED8"
"502","ZNF813"
"503","ZNF37BP"
"504","FAM78A"
"505","LINC01229"
"506","SLC25A13"
"507","AGMAT"
"508","ENSG00000285796"
"509","MAN2C1"
"510","IL11RA"
"511","ENSG00000286059"
"512","ABCC3"
"513","MAGOH2P"
"514","ENSG00000279878"
"515","SLC24A4"
"516","KCNE3"
"517","TLR1"
"518","CD300LF"
"519","FCGR3B"
"520","TNFAIP8L2"
"521","SPIC"
"522","LPAR5"
"523","FPR3"
"524","CYSLTR1"
"525","HLA-DMB"
"526","KCNJ10"
"527","CXCR2P1"
"528","ADA2"
"529","SDC3"
"530","DZIP1L"
"531","UNC93B1"
"532","RNASET2"
"533","TMEM132E"
"534","HVCN1"
"535","SIGLEC11"
"536","SIGLEC1"
"537","ARL11"
"538","TASL"
"539","EVI2B"
"540","RGS18"
"541","ENTPD1"
"542","PTPN6"
"543","MNDA"
"544","SELL"
"545","HOXB5"
"546","WDR70"
"547","CACNA2D4"
"548","PRR15L"
"549","GIMAP2"
"550","NALT1"
"551","ENSG00000259275"
"552","PADI4"
"553","NFYC-AS1"
"554","NLRP12"
"555","ZSWIM3"
"556","ADORA3"
"557","CXCR2"
"558","LRRC4"
"559","GCNT1"
"560","CALHM5"
"561","PABPC5"
"562","MANEA-DT"
"563","ENSG00000258168"
"564","AQP1"
"565","MAPK10"
"566","PPP1R12B"
"567","PRKAR2B"
"568","MS4A6A"
"569","LOXL3"
"570","C21orf62"
"571","ATP13A4"
"572","KCNJ16"
"573","SEMA3D"
"574","CAMK4"
"575","FENDRR"
"576","DACH1"
"577","RNF150"
"578","DACT3"
"579","GUCY1B1"
"580","FHL1"
"581","GUCY1A2"
"582","OLFML1"
"583","KIF6"
"584","GALNT15"
"585","CADM2"
"586","ADARB2"
"587","ASCL2"
"588","OLFML2A"
"589","PITPNM3"
"590","BTNL9"
"591","PTPRB"
"592","ANKS1A"
"593","NEURL1B"
"594","TMEM204"
"595","ENSG00000271978"
"596","ENSG00000253177"
"597","LINC01537"
"598","HID1-AS1"
"599","LMO2"
"600","DAB2"
"601","GPX8"
"602","CLEC14A"
"603","EDA"
"604","VAV3"
"605","ADGRA2"
"606","ADD3"
"607","NRN1"
"608","LDB2"
"609","ENSG00000280304"
"610","KLHL4"
"611","F2R"
"612","TSPAN18"
"613","EXOC3L1"
"614","KIF26A"
"615","GIPC3"
"616","NOSTRIN"
"617","PDGFD"
"618","ZNF117"
"619","SLC44A2"
"620","FLRT2"
"621","ENSG00000286320"
"622","SMAD6"
"623","ARHGEF15"
"624","MTMR9LP"
"625","MEF2C"
"626","RECK"
"627","PASK"
"628","PRUNE2"
"629","ENSG00000228401"
"630","HSPB7"
"631","ATP1A2"
"632","NTRK3"
"633","LINC02702"
"634","HYDIN"
"635","ZNF385D"
"636","ADGRG5"
"637","LGALS4"
"638","ENSG00000283236"
"639","LSS"
"640","ELOVL6"
"641","RASL12"
"642","CYP3A7"
"643","AQP4"
"644","ZKSCAN7"
"645","UGDH-AS1"
"646","CEBPA-DT"
"647","SMLR1"
"648","PLCG2"
"649","MYO16"
"650","ACSM2A"
"651","DICER1-AS1"
"652","CNTLN"
"653","GNAT1"
"654","ENSG00000260855"
"655","RTCA-AS1"
"656","DNAJC27-AS1"
"657","ENSG00000267002"
"658","ABCA9"
"659","ENSG00000255142"
"660","ENSG00000259967"
"661","MTND5P1"
"662","ENSG00000265511"
"663","ENSG00000270977"
"664","TUG1"
"665","ENSG00000216775"
"666","COLCA1"
"667","ZNF334"
"668","IGHG3"
"669","ARL16"
"670","MUC20-OT1"
"671","CROCC"
"672","NIPSNAP3B"
"673","ZNF608"
"674","CNTNAP3"
"675","SPATC1L"
"676","PRKCZ-AS1"
"677","TUBGCP6"
"678","DHPS"
"679","PTCHD4"
"680","FRS3"
"681","TELO2"
"682","STRADA"
"683","A1BG-AS1"
"684","MYO15B"
"685","TOB1-AS1"
"686","MORN4"
"687","NBR2"
"688","C14orf93"
"689","TMEM198B"
"690","LBX2"
"691","SLIT3-AS2"
"692","LIME1"
"693","DBH-AS1"
"694","ENSG00000272316"
"695","FAM238C"
"696","ENSG00000256811"
"697","ENSG00000286757"
"698","ZNF519"
"699","SNED1"
"700","GABPB2"
"701","RCBTB2"
"702","SLC35A1"
"703","TMEM219"
"704","ENSG00000280334"
"705","ENSG00000233967"
"706","MLXIPL"
"707","NFIA"
"708","ENSG00000272156"
"709","LINC01484"
"710","GLI4"
"711","STPG3"
"712","GOLGA2P5"
"713","KIAA0895L"
"714","PPIEL"
"715","STAG3L5P"
"716","JMJD7-PLA2G4B"
"717","ASPSCR1"
"718","HMGN3"
"719","ERMARD"
"720","NGEF"
"721","SORL1"
"722","PTPN18"
"723","COPG2"
"724","METAP1D"
"725","CARF"
"726","TBCK"
"727","ZFP90"
"728","ZSCAN30"
"729","INTU"
"730","DUSP19"
"731","TMEM25"
"732","HESX1"
"733","CD27-AS1"
"734","NBPF11"
"735","ZNF385B"
"736","PKHD1"
"737","ELN"
"738","PARD3B"
"739","KLHDC1"
"740","SP4"
"741","TPPP2"
"742","ENSG00000272129"
"743","SLC6A13"
"744","PDLIM2"
"745","ARSD"
"746","CHAD"
"747","SYCE2"
"748","TAT-AS1"
"749","ENSG00000226812"
"750","LYRM9"
"751","AMACR"
"752","IQCH-AS1"
"753","SLC24A1"
"754","RBP5"
"755","USH2A"
"756","HNF4A-AS1"
"757","OMA1"
"758","FMO4"
"759","SLC2A4RG"
"760","SIRT5"
"761","GAS5-AS1"
"762","F11-AS1"
"763","MRGPRF"
"764","ENSG00000259203"
"765","ENSG00000288046"
"766","B3GAT1-DT"
"767","TMEM143"
"768","ARHGEF40"
"769","BCAR3-AS1"
"770","ASPA"
"771","SLC27A1"
"772","ASPRV1"
"773","GFRA2"
"774","EFCAB7"
"775","MAP2K6"
"776","ENSG00000261012"
"777","SRP14P4"
"778","WDPCP"
"779","SRGAP3"
"780","ENSG00000248932"
"781","ZC3H6"
"782","ZNF444"
"783","ARHGEF9"
"784","ZNF362"
"785","ZNF280D"
"786","FIGN"
"787","FCHO2"
"788","ATF7"
"789","SLC66A3"
"790","FAM172A"
"791","TPCN1"
"792","MYH10"
"793","CHRM2"
"794","LINC02884"
"795","VIPR1"
"796","DAAM2"
"797","PDE7B"
"798","TNS2"
"799","TP53I13"
"800","LMOD1"
"801","CYP20A1"
"802","ENSG00000272510"
"803","PCYT2"
"804","ENSG00000278683"
"805","ORAI3"
"806","ENSG00000262558"
"807","ENSG00000262294"
"808","ENSG00000230435"
"809","HTR2B"
"810","NCKIPSD"
"811","DLEC1"
