"","x"
"322","FJX1"
"323","SPHK1"
"324","C15orf48"
"325","TLNRD1"
"326","STX6"
"327","PTPN1"
"328","EHD1"
"329","NCS1"
"330","GJA4"
"331","EMILIN2"
"332","ACKR3"
"333","USP37"
"334","RASSF3"
"335","R3HDM4"
"336","DOCK7"
"337","ENSG00000280347"
"338","OSMR"
"339","ADAMTS3"
"340","DGKD"
"341","VCPKMT"
"342","EZR"
"343","ASXL1"
"344","RBM33"
"345","LRCH1"
"346","ZNF830"
"347","KAT6A"
"348","CTDSPL2"
"349","ABTB2"
"350","SERPINA3"
"351","CDC37L1"
"352","RBM47"
"353","GTF2B"
"354","TGIF1"
"355","SPSB1"
"356","LONRF3"
"357","ZNF516"
"358","PLEKHA3"
"359","RBM7"
"360","ELF1"
"361","RGCC"
"362","WTAP"
"363","TP53BP2"
"364","GNA13"
"365","PLAGL2"
"366","LDLR"
"367","RNF138"
"368","AFF4"
"369","PPTC7"
"370","ZNF654"
"371","MARK2"
"372","RBM22"
"373","RAD54L2"
"374","NAMPTP1"
"375","ELL2"
"376","ITPKC"
"377","MTMR9"
"378","SNW1"
"379","PPARD"
"380","MT1A"
"381","LITAF"
"382","AKAP13"
"383","NCOA3"
"384","ARIH1"
"385","MED13L"
"386","ZBTB2"
"387","AMMECR1L"
"388","NUP153"
"389","MED28"
"390","S100A14"
"391","SRC"
"392","ZSWIM4"
"393","ENSG00000254554"
"394","ENSG00000276850"
"395","CCL4"
"396","ENSG00000273760"
"397","ENSG00000285106"
"398","IFNGR2"
"399","ATP6V1G1"
"400","CYCS"
"401","H3-5"
"402","DNTTIP2"
"403","H3-3B"
"404","DCP1A"
"405","CCNH"
"406","ACBD3"
"407","ELF3"
"408","FOSL2"
"409","NFKBIE"
"410","NFKBIA"
"411","IER3"
"412","RNF144B"
"413","TIFA"
"414","ICAM1"
"415","TICAM1"
"416","INO80D"
"417","PFKFB3"
"418","ZNF267"
"419","NFKB1"
"420","TNFAIP8"
"421","C18orf25"
"422","MORC3"
"423","CHIC2"
"424","PELI1"
"425","RLF"
"426","CHD1"
"427","RGMB"
"428","KLHL21"
"429","SCML1"
"430","CCDC174"
"431","EXOC8"
"432","ZNF574"
"433","RHOA"
"434","TAX1BP1"
"435","NUDC"
"436","NEU1"
"437","WIPF2"
"438","DUSP6"
"439","KANSL2"
"440","CD55"
"441","CNEP1R1"
"442","RNF113A"
"443","CDR2"
"444","TERF2IP"
"445","PPP2R2A"
"446","MAFK"
"447","ZNF805"
"448","BNIP2"
"449","ASB1"
"450","UBALD1"
"451","ZBTB17"
"452","IFT57"
"453","STX3"
"454","RNF145"
"455","SNN"
"456","UGCG"
"457","RELL1"
"458","BTG3"
"459","EMP1"
"460","LUZP1"
"461","UPP1"
"462","NRIP3"
"463","GLA"
"464","METRNL"
"465","ATP1B3"
"466","MAP7D1"
"467","SWAP70"
"468","CEP170"
"469","KCTD10"
"470","C15orf39"
"471","RALB"
"472","SH3BGRL3"
"473","EMP3"
"474","CDC37"
"475","ADAM17"
"476","USP36"
"477","BRPF1"
"478","MAX"
"479","CD80"
"480","PPP2R5B"
"481","PHLDA2"
"482","SMIM3"
"483","TNFRSF1B"
"484","ENSG00000235713"
"485","TLR2"
"486","RNF175"
"487","EFHD2"
"488","HAUS3"
"489","BID"
"490","CCT3"
