"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ensembl","symbol"
"11524.458","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000125354","SEPT6"
"11524.459","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143756","FBXO28"
"11524.460","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000182621",NA
"11524.461","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121892","PDS5A"
"11524.462","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000070366","SMG6"
"11524.463","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000024048","UBR2"
"11524.464","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000127511","SIN3B"
"11524.465","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000151503","NCAPD3"
"11524.466","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000074054","CLASP1"
"11524.467","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000101596","SMCHD1"
"11524.468","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000132275","RRP8"
"11524.469","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000164151","ICE1"
"11524.470","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000129933","MAU2"
"11524.471","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121152","NCAPH"
"11524.472","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000096717","SIRT1"
"11524.473","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000142856","ITGB3BP"
"11524.474","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000120948","TARDBP"
"11524.475","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000183741","CBX6"
"11524.476","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000094916","CBX5"
"11524.477","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100307","CBX7"
"11524.478","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000135547","HEY2"
"11524.479","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000112624","BICRAL"
"11524.480","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178691","SUZ12"
"11524.481","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000132471","WBP2"
"11524.482","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000091651","ORC6"
"11524.483","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000135336","ORC3"
"11524.484","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100109","TFIP11"
"11524.485","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100242","SUN2"
"11524.486","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000164190","NIPBL"
"11524.487","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000111875","ASF1A"
"11524.488","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000174744","BRMS1"
"11524.489","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000153207","AHCTF1"
"11524.490","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000128513","POT1"
"11524.491","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000117697","NSL1"
"11524.492","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000101347","SAMHD1"
"11524.493","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000169375","SIN3A"
"11524.494","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000161642","ZNF385A"
"11524.495","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000129460","NGDN"
"11524.496","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000165802","NSMF"
"11524.497","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000185513","L3MBTL1"
"11524.498","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000184402","SS18L1"
"11524.499","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000132466","ANKRD17"
"11524.500","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000157500","APPL1"
"11524.501","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000083635","NUFIP1"
"11524.502","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000011243","AKAP8L"
"11524.503","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000119684","MLH3"
"11524.504","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141456","PELP1"
"11524.505","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000172167","MTBP"
"11524.506","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000072364","AFF4"
"11524.507","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000130724","CHMP2A"
"11524.508","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000109445","ZNF330"
"11524.509","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000147274","RBMX"
"11524.510","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000110107","PRPF19"
"11524.511","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000115317","HTRA2"
"11524.512","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000099954","CECR2"
"11524.513","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000276043","UHRF1"
"11524.514","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000025770","NCAPH2"
"11524.515","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000214022","REPIN1"
"11524.516","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000159147","DONSON"
"11524.517","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000105373","NOP53"
"11524.518","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000063169","BICRA"
"11524.519","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000138375","SMARCAL1"
"11524.520","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000139351","SYCP3"
"11524.521","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000127483","HP1BP3"
"11524.522","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000107371","EXOSC3"
"11524.523","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000110066","KMT5B"
"11524.524","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000144635","DYNC1LI1"
"11524.525","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000132912","DCTN4"
"11524.526","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178951","ZBTB7A"
"11524.527","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000116750","UCHL5"
"11524.528","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000122008","POLK"
"11524.529","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000134758","RNF138"
"11524.530","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000198917","SPOUT1"
"11524.531","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000022277","RTF2"
"11524.532","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000187531","SIRT7"
"11524.533","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000077463","SIRT6"
"11524.534","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000131153","GINS2"
"11524.535","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000258366","RTEL1"
"11524.536","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000167258","CDK12"
"11524.537","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000048649","RSF1"
"11524.538","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000120733","KDM3B"
"11524.539","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000071655","MBD3"
"11524.540","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000159055","MIS18A"
"11524.541","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000148229","POLE3"
"11524.542","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000104472","CHRAC1"
"11524.543","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000203883","SOX18"
"11524.544","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000166848",NA
"11524.545","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000109534","GAR1"
"11524.546","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143971","ETAA1"
"11524.547","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178896","EXOSC4"
"11524.548","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000122376","SHLD2"
"11524.549","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000071243","ING3"
"11524.550","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000128908","INO80"
"11524.551","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000006712","PAF1"
"11524.552","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000196199","MPHOSPH8"
"11524.553","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000107672","NSMCE4A"
"11524.554","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000167491","GATAD2A"
"11524.555","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000186871","ERCC6L"
"11524.556","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141376","BCAS3"
"11524.557","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000137074","APTX"
"11524.558","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000146918","NCAPG2"
"11524.559","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000040275","SPDL1"
"11524.560","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000075131","TIPIN"
"11524.561","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000185480","PARPBP"
"11524.562","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000174442","ZWILCH"
"11524.563","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000147231","RADX"
"11524.564","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000082068","WDR70"
"11524.565","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000197181","PIWIL2"
"11524.566","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141499","WRAP53"
"11524.567","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000168411","RFWD3"
"11524.568","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000031691","CENPQ"
"11524.569","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000080345","RIF1"
"11524.570","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163939","PBRM1"
"11524.571","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000136044","APPL2"
"11524.572","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000135372","NAT10"
"11524.573","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163374","YY1AP1"
"11524.574","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143970","ASXL2"
"11524.575","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000130024","PHF10"
"11524.576","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000129534","MIS18BP1"
"11524.577","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000123485","HJURP"
"11524.578","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000065328","MCM10"
"11524.579","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000099284","H2AFY2"
"11524.580","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000145912","NHP2"
"11524.581","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000119906","SLF2"
"11524.582","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000105011","ASF1B"
"11524.583","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000069248","NUP133"
"11524.584","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000246705","H2AFJ"
"11524.585","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000204406","MBD5"
"11524.586","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121931","LRIF1"
"11524.587","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000126226","PCID2"
"11524.588","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000168453","HR"
"11524.589","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000115548","KDM3A"
"11524.590","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000166451","CENPN"
"11524.591","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000005483","KMT2E"
"11524.592","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178028","DMAP1"
"11524.593","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121101","TEX14"
"11524.594","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000155827","RNF20"
"11524.595","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000115350","POLE4"
"11524.596","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000070950","RAD18"
"11524.597","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000124535","WRNIP1"
"11524.598","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000077348","EXOSC5"
"11524.599","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163104","SMARCAD1"
"11524.600","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000137812","KNL1"
"11524.601","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000111581","NUP107"
"11524.602","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000101115","SALL4"
"11524.603","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000124201","ZNFX1"
"11524.604","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000125676","THOC2"
"11524.605","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141570","CBX8"
"11524.606","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000049618","ARID1B"
"11524.607","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000057935","MTA3"
"11524.608","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000183495","EP400"
"11524.609","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000109118","PHF12"
"11524.610","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000012822","CALCOCO1"
"11524.611","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178409","BEND3"
"11524.612","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000175482","POLD4"
"11524.613","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000158941","CCAR2"
"11524.614","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100814","CCNB1IP1"
"11524.615","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000166801","FAM111A"
"11524.616","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000127586","CHTF18"
"11524.617","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000123219","CENPK"
"11524.618","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000109805","NCAPG"
"11524.619","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000152457","DCLRE1C"
"11524.620","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000111707","SUDS3"
"11524.621","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000069275","NUCKS1"
"11524.622","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000182158","CREB3L2"
"11524.623","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163875","MEAF6"
"11524.624","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000118655","DCLRE1B"
"11524.625","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000173559","NABP1"
"11524.626","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000153044","CENPH"
"11524.627","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000158828","PINK1"
"11524.628","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000102977","ACD"
"11524.629","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000028310","BRD9"
"11524.630","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000127423","AUNIP"
"11524.631","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000167842","MIS12"
"11524.632","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100162","CENPM"
"11524.633","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000075188","NUP37"
"11524.634","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000139579","NABP2"
"11524.635","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000136982","DSCC1"
"11524.636","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000131652","THOC6"
"11524.637","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000134371","CDC73"
"11524.638","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000136715","SAP130"
"11524.639","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000147421","HMBOX1"
"11524.640","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000128915","ICE2"
"11524.641","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163029",NA
"11524.642","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000151725","CENPU"
"11524.643","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000152455","SUV39H2"
"11524.644","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000123607",NA
"11524.645","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000197771","MCMBP"
"11524.646","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000125450","NUP85"
"11524.647","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000101442","ACTR5"
"11524.648","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000176208","ATAD5"
"11524.649","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000092470","WDR76"
"11524.650","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000149636","DSN1"
"11524.651","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000107960","STN1"
"11524.652","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178966","RMI1"
"11524.653","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000140451","PIF1"
"11524.654","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000163634","THOC7"
"11524.655","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000102901","CENPT"
"11524.656","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000178971","CTC1"
"11524.657","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000129696","TTI2"
"11524.658","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000164091","WDR82"
"11524.659","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000140395","WDR61"
"11524.660","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000107854","TNKS2"
"11524.661","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141431","ASXL3"
"11524.662","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000166579","NDEL1"
"11524.663","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143401","ANP32E"
"11524.664","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000167513","CDT1"
"11524.665","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000085415","SEH1L"
"11524.666","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121621","KIF18A"
"11524.667","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000115274","INO80B"
"11524.668","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143228","NUF2"
"11524.669","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000122515","ZMIZ2"
"11524.670","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000138496","PARP9"
"11524.671","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121988","ZRANB3"
"11524.672","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000103510","KAT8"
"11524.673","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000183576","SETD3"
"11524.674","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000133302","SLF1"
"11524.675","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000121851","POLR3GL"
"11524.676","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000156531","PHF6"
"11524.677","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000147536","GINS4"
"11524.678","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000100916","BRMS1L"
"11524.679","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000051596","THOC3"
"11524.680","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000104885","DOT1L"
"11524.681","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000188827","SLX4"
"11524.682","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000166847","DCTN5"
"11524.683","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000144161","ZC3H8"
"11524.684","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000140632","GLYR1"
"11524.685","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000173894","CBX2"
"11524.686","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000133247","KMT5C"
"11524.687","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000134452","FBH1"
"11524.688","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000143194","MAEL"
"11524.689","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000197903","HIST1H2BK"
"11524.690","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000149115","TNKS1BP1"
"11524.691","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000128944","KNSTRN"
"11524.692","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000157613","CREB3L1"
"11524.693","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000145919","BOD1"
"11524.694","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000172716","SLFN11"
"11524.695","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000120334","CENPL"
"11524.696","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000147457","CHMP7"
"11524.697","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000127311","HELB"
"11524.698","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000158805","ZNF276"
"11524.699","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000171772","SYCE1"
"11524.700","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000141052","MYOCD"
"11524.701","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000113812","ACTR8"
"11524.702","GO:0044427",8.70059690781591e-34,1,156,801,"chromosomal part","CC","ENSG00000105968","H2AFV"
