"","x"
"1","Gm37531"
"2","Gm45084"
"3","Gm11827"
"4",NA
"5","Gm38034"
"6","Pfkfb3"
"7","Gadd45g"
"8","Gm44694"
"9","Gm16093"
"10","Slc25a25"
"11","Gm13369"
"12","Gm17823"
"13","E230001N04Rik"
"14","Gm37195"
"15","A330023F24Rik"
"16","Gm47218"
"17","Txnip"
"18","Klf2"
"19","Klf11"
"20","Zfp949"
"21","Hmgb1-ps8"
"22","Gm26740"
"23","Gm10825"
"24","Gm26581"
"25","Gm47644"
"26","Pln"
"27","Gm20109"
"28","Gm43119"
"29","Flvcr1"
"30","1700023H06Rik"
"31","Gm29112"
"32","Cfap161"
"33","Zfp560"
"34","Sycp1"
"35","Anapc10"
"36","Rsrp1"
"37","Gm47844"
