"","x"
"200","ENSMUSG00000108873"
"201","ENSMUSG00000015966"
"202","ENSMUSG00000030031"
"203","ENSMUSG00000004035"
"204","ENSMUSG00000032349"
"205","ENSMUSG00000039831"
"206","ENSMUSG00000034591"
"207","ENSMUSG00000060519"
"208","ENSMUSG00000051008"
"209","ENSMUSG00000020142"
"210","ENSMUSG00000107951"
"211","ENSMUSG00000005514"
"212","ENSMUSG00000024975"
"213","ENSMUSG00000090021"
"214","ENSMUSG00000080731"
"215","ENSMUSG00000010492"
"216","ENSMUSG00000028680"
"217","ENSMUSG00000021226"
"218","ENSMUSG00000089827"
"219","ENSMUSG00000109482"
"220","ENSMUSG00000034708"
"221","ENSMUSG00000022853"
"222","ENSMUSG00000108591"
"223","ENSMUSG00000082157"
"224","ENSMUSG00000050953"
"225","ENSMUSG00000012350"
"226","ENSMUSG00000025185"
"227","ENSMUSG00000068587"
"228","ENSMUSG00000041645"
"229","ENSMUSG00000040127"
"230","ENSMUSG00000017167"
"231","ENSMUSG00000018995"
"232","ENSMUSG00000039886"
"233","ENSMUSG00000055200"
"234","ENSMUSG00000056131"
"235","ENSMUSG00000031119"
"236","ENSMUSG00000110344"
"237","ENSMUSG00000016757"
"238","ENSMUSG00000026289"
"239","ENSMUSG00000034528"
"240","ENSMUSG00000101567"
"241","ENSMUSG00000022528"
"242","ENSMUSG00000034245"
"243","ENSMUSG00000111940"
"244","ENSMUSG00000029369"
"245","ENSMUSG00000031134"
"246","ENSMUSG00000047617"
"247","ENSMUSG00000111074"
"248","ENSMUSG00000045411"
"249","ENSMUSG00000061778"
"250","ENSMUSG00000000317"
"251","ENSMUSG00000036452"
"252","ENSMUSG00000038764"
"253","ENSMUSG00000033066"
"254","ENSMUSG00000028525"
"255","ENSMUSG00000086320"
"256","ENSMUSG00000043683"
"257","ENSMUSG00000033629"
"258","ENSMUSG00000065952"
"259","ENSMUSG00000031924"
"260","ENSMUSG00000027502"
"261","ENSMUSG00000028207"
"262","ENSMUSG00000087598"
"263","ENSMUSG00000041362"
"264","ENSMUSG00000049755"
"265","ENSMUSG00000034731"
"266","ENSMUSG00000087382"
"267","ENSMUSG00000073877"
"268","ENSMUSG00000032066"
"269","ENSMUSG00000051439"
"270","ENSMUSG00000097174"
"271","ENSMUSG00000026880"
"272","ENSMUSG00000054408"
"273","ENSMUSG00000041261"
"274","ENSMUSG00000039217"
"275","ENSMUSG00000033174"
"276","ENSMUSG00000027762"
"277","ENSMUSG00000026098"
"278","ENSMUSG00000068877"
"279","ENSMUSG00000057722"
"280","ENSMUSG00000064254"
"281","ENSMUSG00000049657"
"282","ENSMUSG00000040675"
"283","ENSMUSG00000093651"
"284","ENSMUSG00000067071"
"285","ENSMUSG00000042251"
"286","ENSMUSG00000080701"
"287","ENSMUSG00000030104"
"288","ENSMUSG00000089634"
"289","ENSMUSG00000029254"
"290","ENSMUSG00000033295"
"291","ENSMUSG00000086389"
"292","ENSMUSG00000090306"
"293","ENSMUSG00000025732"
"294","ENSMUSG00000038323"
"295","ENSMUSG00000030787"
"296","ENSMUSG00000028712"
"297","ENSMUSG00000036430"
"298","ENSMUSG00000028378"
"299","ENSMUSG00000102091"
"300","ENSMUSG00000001630"
"301","ENSMUSG00000030521"
"302","ENSMUSG00000003541"
"303","ENSMUSG00000074743"
"304","ENSMUSG00000097815"
"305","ENSMUSG00000111515"
"306","ENSMUSG00000027559"
"307","ENSMUSG00000022540"
"308","ENSMUSG00000016528"
"309","ENSMUSG00000009647"
"310","ENSMUSG00000083852"
"311","ENSMUSG00000049477"
"312","ENSMUSG00000057110"
"313","ENSMUSG00000091490"
"314","ENSMUSG00000109916"
"315","ENSMUSG00000073436"
"316","ENSMUSG00000032028"
"317","ENSMUSG00000024757"
"318","ENSMUSG00000090610"
"319","ENSMUSG00000033102"
"320","ENSMUSG00000097384"
"321","ENSMUSG00000025195"
"322","ENSMUSG00000005625"
"323","ENSMUSG00000078153"
"324","ENSMUSG00000015656"
"325","ENSMUSG00000010651"
"326","ENSMUSG00000024747"
"327","ENSMUSG00000028121"
"328","ENSMUSG00000106874"
"329","ENSMUSG00000025464"
"330","ENSMUSG00000026853"
"331","ENSMUSG00000026526"
"332","ENSMUSG00000063929"
"333","ENSMUSG00000032315"
"334","ENSMUSG00000096826"
"335","ENSMUSG00000102719"
"336","ENSMUSG00000020911"
"337","ENSMUSG00000080774"
"338","ENSMUSG00000035875"
"339","ENSMUSG00000032812"
"340","ENSMUSG00000025075"
"341","ENSMUSG00000029246"
