"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000089827",-2.40957662811251,0.593455548446714,45.7212547757644,1.36335388397402e-11,2.92548476423144e-07
"ENSMUSG00000003545",3.18608981612336,0.476527540838877,35.1710238902661,3.01983554198117e-09,3.2399815529916e-05
"ENSMUSG00000001542",0.945561234304236,4.20801824100077,31.2100714962128,2.31561582339508e-08,0.000165628281128039
"ENSMUSG00000104235",-0.867824962736774,4.0700602284336,29.510690408187,5.56091280932913e-08,0.000298315167656461
"ENSMUSG00000039220",0.892447590268894,3.95878202352323,28.7050273174447,8.42846459115965e-08,0.000361715986394208
"ENSMUSG00000108784",2.26618596434169,0.452183596201646,27.3403912917181,1.70610115510686e-07,0.000610158643104716
"ENSMUSG00000028989",1.79819491384115,6.2831956650423,26.889063066121,2.15474791511354e-07,0.000660522582321519
"ENSMUSG00000098609",1.67908785516199,1.22090212721075,26.5136097396683,2.61687980846054e-07,0.000701912586624329
"ENSMUSG00000033871",-1.51996269999654,1.59067266231807,25.4957748963471,4.43352756375605e-07,0.00105705149403419
"ENSMUSG00000112734",-1.10559611085792,1.5143431530611,25.0623433990909,5.55062962361381e-07,0.00115334349276152
"ENSMUSG00000103253",-2.61549801342549,-0.0609318224955754,24.9406107368643,5.91237693185603e-07,0.00115334349276152
"ENSMUSG00000029178",0.890392792810992,4.35966554010589,23.0139703220629,1.6082843543777e-06,0.00287493343200472
"ENSMUSG00000037225",-0.926926456059628,2.64899661544878,22.7846133419756,1.81210729099059e-06,0.00287493343200472
"ENSMUSG00000038304",1.98746221878276,0.237350177933933,22.7183165230112,1.87571386187278e-06,0.00287493343200472
"ENSMUSG00000042622",1.53071936180193,2.47061658439679,22.3915256946819,2.22352946477502e-06,0.00318083301700949
"ENSMUSG00000021750",0.988321072415885,2.85098055909179,21.9303985565998,2.82719837131791e-06,0.00379162641573373
"ENSMUSG00000040152",1.33732376116862,5.22173839809533,21.200096917272,4.13743590611752e-06,0.00522241762785117
"ENSMUSG00000015202",1.12348243130691,1.12822833872582,20.2532107904524,6.78395130754824e-06,0.00808722373096501
"ENSMUSG00000034958",0.816556715564934,3.23677185282468,20.0262340636429,7.63869794103978e-06,0.00862690423257009
"ENSMUSG00000108489",-1.69553003668348,1.73210372638456,19.6994051748639,9.06295706279509e-06,0.00972364663267286
"ENSMUSG00000031849",1.17855824635473,2.40536181704475,19.5641596234656,9.72770595859994e-06,0.00993986259331607
"ENSMUSG00000032515",1.22487294829498,2.26477905083704,18.4834734308666,1.71384006351642e-05,0.0162207894446261
"ENSMUSG00000112897",-2.10344042658195,-0.720644018831866,18.4560896232525,1.73864366309256e-05,0.0162207894446261
"ENSMUSG00000109864",1.38549063262035,0.79751775015095,17.8922595951513,2.3376996282399e-05,0.0209009827594882
"ENSMUSG00000044167",1.15125038572877,4.9801227659784,17.7032831862981,2.58180600318555e-05,0.0221601572865422
"ENSMUSG00000041991",9.74922266359768,2.76097085307012,17.3645104135174,3.08533601508933e-05,0.0254635154660719
"ENSMUSG00000104030",0.858465802350083,4.17069604535543,17.0616356890438,3.6185970926846e-05,0.0285517595057928
"ENSMUSG00000008384",0.956571835779607,1.57483091985516,17.0062760054741,3.72564668730636e-05,0.0285517595057928
"ENSMUSG00000028341",2.50037523690421,3.72152956130343,16.8417109823891,4.06303959621795e-05,0.0300636909157396
"ENSMUSG00000031824",1.23419072409843,4.7283490367305,16.5423290583654,4.75760545371994e-05,0.0340295659419742
"ENSMUSG00000056708",1.02159671711907,3.08489900338757,16.4317445352872,5.04335213951405e-05,0.0349097581321589
"ENSMUSG00000021453",-1.03966944341941,3.98540984229789,16.1565343059333,5.83170384475395e-05,0.0391052190939782
"ENSMUSG00000066595",-0.875087436523667,3.30729485576584,15.9901184464118,6.36739656221707e-05,0.041403513767289
"ENSMUSG00000006476",0.83039998488935,2.49959821916566,15.9031683399184,6.66670214814663e-05,0.042074733733803
"ENSMUSG00000036452",0.924697503671918,3.64048946689515,15.828752633167,6.934076937759e-05,0.0425118351229807
"ENSMUSG00000050471",-0.67178332382313,2.94488888551697,15.5977180457888,7.83490865214474e-05,0.0463628392318879
"ENSMUSG00000091712",-1.55401316358666,1.39667227247849,15.5596305731297,7.99433801649666e-05,0.0463628392318879
"ENSMUSG00000111394",1.01823011543217,3.32092656067077,15.3909526300489,8.74057886897426e-05,0.0472676825089686
"ENSMUSG00000003476",-0.857699584510871,2.64462795136987,15.3877229396456,8.75553119667495e-05,0.0472676825089686
"ENSMUSG00000026121",1.05797964787567,1.6339137002619,15.3525254598788,8.92016131380995e-05,0.0472676825089686
"ENSMUSG00000098343",3.19887891401138,1.12683616020944,15.329094292271,9.03148002082073e-05,0.0472676825089686
