"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000020108",-3.97076406994533,4.97743725877059,145.5640499304,1.61676622643325e-33,3.46925696868048e-29
"ENSMUSG00000002910",-3.05541923628792,5.23302503331391,127.426404549313,1.49856087272152e-29,1.60780596034291e-25
"ENSMUSG00000066170",-2.5224393068211,1.53573433133942,93.9949175750448,3.16335071943273e-22,2.26263932458625e-18
"ENSMUSG00000021453",-2.23445863599295,3.98540984229789,67.9322007446926,1.69215045279438e-16,9.07754110401544e-13
"ENSMUSG00000102844",-1.76259685733523,3.48951527954771,59.101781556934,1.49723627001062e-14,6.42553917637756e-11
"ENSMUSG00000112734",-1.77330938105903,1.5143431530611,57.2266009994845,3.88382435336388e-14,1.3889850495747e-10
"ENSMUSG00000028967",-1.36090805713554,5.36901121300237,55.7818485509072,8.0975753003007e-14,2.33930444239409e-10
"ENSMUSG00000074794",-2.09677348363723,6.37613825996586,55.6359449097411,8.72142582680245e-14,2.33930444239409e-10
"ENSMUSG00000048489",-4.69294879311885,4.54318272931817,54.8595358206435,1.29459113507454e-13,3.08659295293661e-10
"ENSMUSG00000109225",-2.6825533989927,2.95673984249511,44.9113165169365,2.06162973719591e-11,4.42384509007499e-08
"ENSMUSG00000089827",-2.29199256072666,0.593455548446714,41.8287623629895,9.96270382977762e-11,1.94345180708516e-07
"ENSMUSG00000088022",-4.99960379025158,-1.28231038857259,41.5561677312996,1.1453257556911e-10,2.04803333880163e-07
"ENSMUSG00000111394",1.667639763688,3.32092656067077,41.2827547219197,1.31725918965236e-10,2.17428828396618e-07
"ENSMUSG00000056313",-1.24830101091998,2.9374417332537,38.1573502428929,6.52634335896323e-10,1.00030196997595e-06
"ENSMUSG00000021701",1.42862083607759,2.0590806542796,37.8623036733724,7.59180768628685e-10,1.08603339554896e-06
"ENSMUSG00000054364",-1.07395020462973,4.14061115134938,37.5886899011459,8.73494995888015e-10,1.17146597636031e-06
"ENSMUSG00000009633",3.25611816082248,3.03984693018985,36.9334735033331,1.2222935561623e-09,1.54282206636062e-06
"ENSMUSG00000022893",1.25828319898085,5.28273371974028,36.4289087151326,1.58337257643062e-09,1.88755604139157e-06
"ENSMUSG00000071637",-2.25028612575917,4.63291484241141,35.9439129166218,2.03079815560563e-09,2.29351930647292e-06
"ENSMUSG00000028211",-1.15820051225276,5.1990723044094,35.8193467811468,2.16487424160555e-09,2.3226935738186e-06
"ENSMUSG00000029321",-1.83155074936633,1.2558052668665,35.4084969668236,2.67318160503882e-09,2.7314824229011e-06
"ENSMUSG00000050974",2.78090377079895,0.205894148495205,34.8675920425993,3.52906389968555e-09,3.44212059815693e-06
"ENSMUSG00000044338",1.52283404863137,1.89314536545342,33.9617536298972,5.62061205219423e-09,5.24378667026016e-06
"ENSMUSG00000103611",-1.63295449554179,0.982051304138847,33.5786440382566,6.84400397702214e-09,6.11910988912255e-06
"ENSMUSG00000030315",1.03877007064109,3.32699895727339,31.8929506163886,1.62907299842307e-08,1.39826593600649e-05
"ENSMUSG00000038583",-1.45787235000756,1.82553566760437,30.7784315457985,2.89234833557392e-08,2.3870773301825e-05
"ENSMUSG00000086430",-1.95991084446216,0.982000000212175,29.9204520736428,4.50139556313127e-08,3.4730994882875e-05
"ENSMUSG00000017144",1.03548564070745,2.29132192116559,29.9073314924325,4.53195944039752e-08,3.4730994882875e-05
"ENSMUSG00000039081",1.49386347397873,0.933535012703708,29.1081633838065,6.84479613241612e-08,5.06467708308225e-05
"ENSMUSG00000019997",-1.40473754517976,4.42694273369343,28.7003591054988,8.44880636277334e-08,6.04314956441301e-05
"ENSMUSG00000041773",-1.41279366600429,1.98971284922563,28.1914167768393,1.09890806600017e-07,7.60657073555857e-05
"ENSMUSG00000037266",-0.756426268634335,6.37895645406404,28.1242229487194,1.13772926957559e-07,7.62918583329785e-05
"ENSMUSG00000106837",1.72231469341452,0.718750481043337,27.9162046390924,1.26684354048398e-07,8.23755414900157e-05
"ENSMUSG00000028341",3.2642034953242,3.72152956130343,27.1952241753566,1.83912414187082e-07,0.000115118608168429
"ENSMUSG00000053113",2.54839961773738,1.62126436001428,27.1551001885509,1.87769190320395e-07,0.000115118608168429
"ENSMUSG00000086801",-2.26689625710531,2.49785001681814,26.9293689660505,2.11027720364848e-07,0.000125784245099692
"ENSMUSG00000044471",-1.07170847417353,3.76065728436945,26.4495907219926,2.70505787124407e-07,0.000156878734597717
"ENSMUSG00000020027",1.30364668591527,3.39779960565876,25.9304403841914,3.53943547368466e-07,0.000199866332616646
"ENSMUSG00000084292",2.81904332317967,-0.969547368599976,25.7151670023491,3.95704936243757e-07,0.000217718885177399
"ENSMUSG00000034235",-1.06238111174231,3.62949445449717,25.6152399128234,4.16735055093936e-07,0.000223557520305142
"ENSMUSG00000034640",-0.987948275211039,4.25064740425042,25.248663222574,5.03944856760588e-07,0.000263747530155334
"ENSMUSG00000110237",-2.33268042285178,0.239004778537869,25.0699989088707,5.52863631535614e-07,0.000282460662035505
"ENSMUSG00000007659",-1.09856346066509,3.87805938286135,24.5178473696926,7.36246984151199e-07,0.000361493198882194
"ENSMUSG00000097857",1.35423886050006,2.2894917418096,24.5048036290841,7.4124805437676e-07,0.000361493198882194
"ENSMUSG00000032578",3.2406910174861,3.17384727488284,24.3995964086491,7.82850924400888e-07,0.000373298114128761
"ENSMUSG00000044786",-0.770298681450044,3.57137879647708,24.0541153642611,9.36658592858384e-07,0.000436930871425113
"ENSMUSG00000002289",-2.26809229745744,2.43002082713116,23.5172416819384,1.23799355990272e-06,0.000565209910816864
"ENSMUSG00000046916",0.945002634458802,1.71240641009616,23.0688308989521,1.56304105145467e-06,0.000698744476710716
"ENSMUSG00000097714",-3.53953019610904,-1.74305296135327,22.6066408056469,1.98796276973345e-06,0.00087056541046817
"ENSMUSG00000031910",0.91086759110128,1.63435580099136,22.2411705611315,2.40461984679294e-06,0.00103196665344966
"ENSMUSG00000042607",-1.57856267166236,2.649827534915,21.9951383379486,2.73341971931142e-06,0.00115007294778401
"ENSMUSG00000037892",0.824848165354785,2.22255806602081,21.9443259585246,2.80675505981325e-06,0.00115821827064371
"ENSMUSG00000022449",1.19858663426948,1.80895589686292,21.8819860189316,2.89942991363611e-06,0.00117388617144913
"ENSMUSG00000085091",-1.0386231432776,1.87914067033372,21.7361783742113,3.12835597603185e-06,0.00124311597284614
"ENSMUSG00000043099",1.5472985128791,0.643366344042186,21.4628317823426,3.60753778699702e-06,0.00140746446969786
"ENSMUSG00000022357",-1.58374207082018,3.442995535248,21.3337177324139,3.85884260814176e-06,0.00147862579795546
"ENSMUSG00000030256",1.18037007680477,3.88122887325241,21.1745287004816,4.19300192769946e-06,0.00157848132218553
"ENSMUSG00000003032",-0.981052879124728,3.09807890523182,20.6095608463213,5.63141775542093e-06,0.00208343038268659
"ENSMUSG00000018899",1.15459077220867,2.19755312390891,20.5325076933814,5.86270875962764e-06,0.00213223736549305
"ENSMUSG00000060548",-1.24939682943048,3.40522640624638,20.3338988992937,6.50380579900691e-06,0.0023259777472515
