"","x"
"1","Brd2"
"2","Dnajb4"
"3","Apold1"
"4","Tor1b"
"5","Csrnp1"
"6","Lsm1"
"7","U2af1"
"8","Ifrd1"
"9","Arl15"
"10","Dynlt2a2"
"11","6430573P05Rik"
"12",NA
"13","Ankrd16"
"14","Sik1"
"15","Xkrx"
"16","Gm11168"
"17","Gm10717"
"18","Gm10722"
"19","Gm10719"
"20","Gm10718"
"21","Gm10721"
"22",NA
"23","Gm10715"
"24","Gm10801"
"25",NA
"26","Gm10800"
"27","Gm10720"
"28","Gps2"
"29","Slc20a1"
"30","Srsf3"
"31","Usp18"
"32","Jund"
"33","Gm42690"
"34","Gm6342"
"35","Mroh6"
"36","Acot4"
"37","Slc16a5"
"38","Mthfd1l"
"39","Mrpl15"
"40","Gm7593"
"41",NA
"42","Midn"
"43","Ddx42"
"44","Tomm40"
"45","Ece2"
"46","Gm45551"
"47","Gm20186"
"48","Grpel1"
"49","Pgm3"
"50","Gm38043"
"51","Vsig10l"
"52","Tshz2"
"53","Fbxo36"
"54","Gm11613"
"55","Nudt18"
"56","Gm11224"
"57","Myh14"
"58","Ppp1r9a"
"59","Man2b2"
"60","Gm9619"
"61","Gm29668"
"62","Gm12419"
"63","Gm7985"
"64","Reep6"
"65","Gm14148"
"66","Ahcyl1"
"67","Gm8864"
"68","Gm3695"
"69","Gm2383"
"70","Gm48106"
"71","mt-Nd6"
"72","Gm11407"
"73","2310061I04Rik"
"74","Col22a1"
"75","Ptch1"
"76","Adm"
"77","Gm47283"
"78","Erdr1"
"79","Ndufa8"
"80","Cops5"
"81","Ppif"
"82","Gm13904"
"83","Afg3l2"
"84","Txn2"
"85","Mrps34"
"86","Gcnt4"
"87","Usp2"
"88","Slain2"
"89","Cobll1"
"90","Hnrnph3"
"91","Gm4076"
"92","Zfp36"
"93","Fos"
"94","Egr1"
"95","Cdc42ep4"
"96","Smcr8"
"97","Amotl2"
"98","Fzr1"
"99","Ubr3"
"100","Nop53"
"101","Gm20632"
"102","Alpl"
"103","Def8"
"104","Marveld3"
"105","Pacsin3"
"106","Tor1a"
"107","Gm15751"
"108","Olfr784"
"109","Gm37385"
"110","Gm37371"
"111","Gm37375"
"112","Gm44267"
"113","Gm42605"
"114","Gm43521"
"115","Gm43836"
"116","Gm42634"
"117","Gm38226"
"118","Gm44380"
"119","Araf"
"120","Gm43107"
"121","Gstt2"
"122","Smyd1"
"123","Zfp207"
"124","Ppp3cc"
"125","Mrpl17"
"126","Agap2"
"127","Nrbp2"
"128","Ogdh"
"129","Rogdi"
"130","Gm47528"
"131","Apoa4"
"132","Aprt"
"133","Slc25a3"
"134","Them7"
"135","Gm5855"
"136","Micos10"
"137","Eno1"
"138","Samm50"
