"","x"
"1","Gm37488"
"2","Plet1os"
"3","Fam83d"
"4","Gm15678"
"5","Gm904"
"6","9330159F19Rik"
"7","Ikzf2"
"8","Gm42972"
"9","Gm3793"
"10","Pm20d2"
"11","Asb18"
"12","Ccdc66"
"13","Glt28d2"
"14","Otub2"
"15","Leo1"
"16","Asb14"
"17","Usf3"
"18","Mrps15"
"19","Mrln"
"20","Myo5c"
"21","Slc16a10"
"22","Pctp"
"23","Sorbs2os"
"24","Asb15"
"25","Tecpr2"
"26","Grb10"
"27","Prkaca"
"28","Trp53inp2"
"29","Fsd1l"
"30","Car8"
"31","Myorg"
"32","Pknox2"
"33","Prkag3"
"34","Trim55"
"35","Rilp"
"36","Pde4a"
"37","Smtn"
"38","Pkdcc"
"39","Rtn4ip1"
"40","Gm38393"
"41","Gm43490"
"42","Lrrtm3"
"43","Dglucy"
"44","Cc2d2a"
"45","Agbl1"
"46","Cadm1"
"47","Ncald"
"48","Gm36936"
"49","Sema6d"
"50","Tob1"
"51","Armcx4"
"52","Nos1"
"53","Ston2"
"54","Amigo1"
"55","Gm15720"
"56","Tmem126b"
"57","Dcun1d2"
"58","2310015K22Rik"
"59","Gpr180"
"60","Rxrg"
"61","Calm1"
"62","Smad3"
"63","Tmem233"
"64","Pwwp3b"
"65","Nqo2"
"66","Rnf150"
"67","Lman1"
"68","Pkia"
"69","Desi2"
"70","Rasgrp3"
"71","Gm7308"
"72","Osbpl6"
"73","Popdc2"
"74","Dnmt3a"
"75","Sobp"
"76","Fsd2"
"77","Myhas"
"78","Maf"
"79","Slc41a3"
"80","Calm3"
"81","2310040G24Rik"
"82","Ank1"
"83","2310065F04Rik"
"84","Xpr1"
"85","Bves"
"86","Rragd"
"87","Hdhd2"
"88","Rnf170"
"89","Ano5"
"90","Ppp1r14c"
"91","Hdac2"
"92","Mrs2"
"93","Prrx1"
"94","Tmc7"
"95","Aqp4"
"96","Aurka"
"97","Lmod3"
"98","Kif1b"
"99","Cdh4"
"100","Ccdc146"
"101","Rala"
"102","Gm32200"
"103","Bmpr1a"
"104","Gm43947"
"105","Rdh14"
"106","Zcchc17"
"107","Slain2"
"108","Synpo2"
"109","Cuedc1"
"110","Mef2c"
"111","Nfib"
"112","Amotl1"
"113","Ankrd40"
"114","Homer1"
"115","Zc3h12c"
"116","Hs2st1"
"117","Iftap"
"118","Pdzrn3"
"119","Zfp930"
"120","Zfyve16"
"121","Arhgef9"
"122","Ppp2r3a"
"123","Gm5881"
"124","Sypl2"
"125","Mat2a"
"126","Ppm1l"
"127","Gm17224"
"128","Pip4k2b"
"129","Reep1"
"130","Stxbp4"
"131","Ghr"
"132","Gm15833"
"133","1700025G04Rik"
"134","Ccdc50"
"135","Ube2d1"
"136","Tceal7"
"137","Septin11"
"138","Extl2"
"139","Arhgap20"
"140","Pitpnc1"
"141","Larp4b"
"142","Srek1ip1"
"143","Tpgs2"
"144","Gm44669"
"145","Tnks2"
"146","Prps1l3"
"147","Agpat5"
"148","Exoc6"
"149","Ciao2a"
"150","Rdh13"
"151","Ric8b"
"152","2610044O15Rik8"
"153","Akap6"
"154","Neu2"
"155","Lyrm9"
"156","Mmab"
"157","Dtna"
"158","Pptc7"
"159","Abcd2"
"160","Lrtm1"
"161","Gpatch11"
"162","9530020I12Rik"
"163","Ubiad1"
"164","Fras1"
"165","Fbxw7"
"166","Fundc1"
"167","Rps6ka5"
"168","Klhl31"
"169","Podxl2"
"170","Tcea3"
"171","Tmem64"
"172","Mrpl18"
"173","Spast"
"174","Trim13"
"175","Zfp955a"
"176","Ccnyl1"
"177","Dusp22"
"178","Trim7"
"179","Wfdc1"
"180","Rarb"
"181","Fam118b"
"182","Lrrc38"
"183","St8sia5"
"184","Sephs1"
"185","Fut10"
"186","2610008E11Rik"
"187","Fgf2"
"188","Hdac9"
"189","2310016D03Rik"
"190","Kcnn2"
"191","Itgb6"
"192","Pdp1"
"193","Trim35"
"194","Tmem25"
"195","Dusp14"
"196","Rbfox2"
"197","Lynx1"
"198","Polr2m"
"199","2310001K20Rik"
"200","Mreg"
"201","Grb14"
"202","Tfrc"
"203","Ndufaf4"
"204","Timm8a1"
"205","Esrrg"
"206","Sacs"
"207","Barx2"
"208","Bloc1s6"
"209","Clip4"
"210","Tnik"
"211","Acot11"
"212","Gm47831"
"213","Clec2d"
"214","Nudcd1"
"215","Gm37589"
"216","Golm1"
"217","Selenoh"
"218","2610507I01Rik"
"219","4930516B21Rik"
"220","Lzts1"
"221","Nr3c2"
"222","Prkg1"
"223","Apobec2"
"224","Grsf1"
"225","Svip"
"226","Tmem177"
"227","Btbd8"
"228","Rap2c"
"229","Ro60"
"230","Klhdc1"
"231","Mlip"
"232","Gtf3c6"
"233","Filip1l"
"234","Nexn"
"235","Hrc"
"236","Dyrk2"
"237","Prrg1"
"238","Lyrm7"
"239","Fer1l6"
"240","Hs3st5"
"241","Mterf2"
"242","Neo1"
"243","Rnf217"
"244","Zfp462"
"245","Ptgr2"
"246","Rps27l"
"247","Angpt1"
"248","D230022J07Rik"
"249","Mc5r"
"250","Olfr239"
"251","Pdcl"
"252","Olfr55"
"253","Sh3rf2"
"254","Hccs"
"255","Casq2"
"256","Them4"
"257","Fkbp14"
"258","Chac2"
"259","5430401H09Rik"
"260","Ddit4l"
"261","Gsdme"
"262","Khdrbs3"
"263","Fam135a"
"264","Cnst"
"265","Gm47845"
"266","Gm44750"
"267","Mtx2"
"268","Gypc"
"269","Colgalt2"
"270","Zfp3"
"271","Edn3"
"272","Gm45025"
"273","Cby1"
"274","Gng11"
"275","Zfp955b"
"276","Gm16193"
"277","Zbed4-ps3"
"278","Gm45203"
"279","Tatdn3"
"280","Hpdl"
"281","B430010I23Rik"
"282","Tro"
"283","Fndc3c1"
"284","Hm629797"
"285","Actr6"
"286","4933431G14Rik"
"287","Gm6728"
"288","Golga7b"
"289","Gm15903"
"290","Galnt17"
"291","Tspan12"
"292","Gm38381"
"293","Gas1"
"294","Gm37864"
"295","Pfkfb1"
"296","Schip1"
"297",NA
"298","Gm3693"
"299","Bcl6"
"300","Cavin2"
"301","Rflnb"
"302","Gm42629"
"303","1700023H06Rik"
"304","Gm38352"
"305","Gm29112"
"306","Gm6602"
"307","Gm28112"
"308","H60b"
"309","Gm26528"
"310","Gm16531"
"311","Gm1972"
"312","Apex2"
"313","D830005E20Rik"
"314","Gm14319"
"315","Nctc1"
"316","Castor2"
"317","Zfp46"
"318","Gm29124"
"319","Zfp560"
"320","4930432B10Rik"
"321","Six1"
"322","Gm8765"
"323","Gm906"
"324","Ptpn4"
"325","Teddm2"
"326","Nkap"
"327","Gm42973"
"328","Zbtb38"
"329","Pnrc2"
"330","Pygo1"
"331","Fign"
"332","Uckl1os"
"333","Trmt11"
"334","Rsrp1"
"335","Sgk1"
"336","Gm7967"
"337","Zfp949"
"338","Hmgb1-ps8"
"339","Gm26740"
"340","Gm10825"
"341","Gm26581"
"342","Gm47644"
"343","Pln"
"344","Gm20109"
"345","Gm43119"
"346","Flvcr1"
"347","A330023F24Rik"
"348","Gm47218"
"349","Gm38036"
"350","Gm37783"
"351","Gm45457"
"352","Gm17823"
"353","Gm43281"
"354","Alas2"
"355","Gm43508"
"356","Gm16249"
"357","4632418H02Rik"
