"","x"
"1","Lonrf1"
"2","Palld"
"3","Mlec"
"4","Gbp5"
"5","Cebpg"
"6","Pkdcc"
"7","Zfp598"
"8","Pgs1"
"9","Txnrd1"
"10","Ltv1"
"11","Olfr56"
"12","Pus7"
"13","Sf3a3"
"14","Utp20"
"15","Zfp330"
"16","Polr1e"
"17","Polr1b"
"18","Ccdc86"
"19","Zfp110"
"20","Efhd2"
"21","Nol11"
"22","Heatr1"
"23","Trak2"
"24","Mdn1"
"25","Fam98a"
"26","Mlx"
"27","Nop56"
"28","Nolc1"
"29","Pprc1"
"30","Bysl"
"31","Nop2"
"32","Uap1"
"33","Creld2"
"34","Grwd1"
"35","Gnl3"
"36","Ddx21"
"37","Nol8"
"38","Rnf113a2"
"39","Slc10a3"
"40","Gcc1"
"41","Lrrc47"
"42","Nuak2"
"43","Tmem50b"
"44","Hes1"
"45","Prpf3"
"46","Sf3b4"
"47","Traf1"
"48","Zswim1"
"49","Gpatch4"
"50","Pnn"
"51","Gtf2f1"
"52","Acin1"
"53","Angptl8"
"54","Gm19653"
"55","Tbc1d25"
"56","Usp36"
"57","Kpna2"
"58","Leng1"
"59","Mphosph10"
"60","Edc4"
"61","2410002F23Rik"
"62","Mx2"
"63","Irf9"
"64","Qtrt2"
"65","Rpp38"
"66","Zcchc7"
"67","Tpm4"
"68","E230013L22Rik"
"69","Ankrd9"
"70","G3bp1"
"71","Vegfa"
"72","Otulin"
"73","Id3"
"74","Dnajb5"
"75","Thumpd1"
"76","Prkab1"
"77","Rrp9"
"78","Zfp143"
"79","Rnf145"
"80","5830417I10Rik"
"81","Mcm3ap"
"82","Gm7172"
"83","Tuba1c"
"84","Gm14150"
"85","Tuba1b"
"86","Ccdc51"
"87","Gm15599"
"88","Gm3756"
"89","Gm17383"
"90","Gm5620"
"91","Tuba1a"
"92","Gm6682"
"93","Zfp933"
"94","Noc4l"
"95","Zfp983"
"96","Lipt2"
"97","Pwp1"
"98","S1pr1"
"99","Hus1"
"100","Armt1"
"101","Syne3"
"102","Otub2"
"103","Tbx3"
"104","Nupl2"
"105","Rrp1b"
"106","Prox1"
"107","Kdm8"
"108","Ccne1"
"109","Gon4l"
"110","Gtpbp4"
"111","Jmjd4"
"112","Wdr37"
"113","Nol10"
"114","Osgin1"
"115","Arf2"
"116","Pinx1"
"117","Zbtb5"
"118","Lpar6"
"119","Ctsc"
"120","Ugcg"
"121","B4galt1"
"122","St3gal1"
"123","Arhgap32"
"124","Trmt5"
"125","Tnip2"
"126","Ripk2"
"127","Pde4b"
"128","Trim11"
"129","Slc37a1"
"130","Poli"
"131","Zfp937"
"132","Xbp1"
"133","Pcdh12"
"134","Pknox1"
"135","Onecut2"
"136","Gm47712"
"137","Zfp442"
"138","Shroom1"
"139","Stat2"
"140","Zfp445"
"141","Tuft1"
"142","Csf1"
"143","Zfp599"
"144","Caskin2"
"145","Coil"
"146","Nhlrc1"
"147","Slc16a6"
"148","Gjb2"
"149","Ctps"
"150","Thpo"
"151",NA
"152","Casp4"
"153","Sybu"
"154","Gm18290"
"155","Mobp"
"156","Cxcl11"
"157","Heatr6"
"158","Lrrc75a"
"159","Champ1"
"160","Gm5113"
"161","Polr1has"
"162","Proca1"
"163","Hnrnpu"
"164","Arrdc3"
"165","Cdc42ep1"
"166","H3c15"
"167","Zfp786"
"168","Prrc1"
"169","Bet1l"
"170","Ik"
"171","Pabpc4"
"172","Srp54a"
"173","Hnrnpd"
"174","Klf10"
"175","Bhlhe40"
"176","Srrm1"
"177","Gtpbp4-ps6"
"178","Larp7"
"179","Eif2b3"
"180","Nle1"
"181","Ranbp2"
"182","Gm14391"
"183","U2af2"
"184","Trmt12"
"185","Sugp1"
"186","Firre"
"187","Mrps2"
"188","Fam160b2"
"189","Khdrbs1"
"190","Ddx39b"
"191","Rpap3"
"192","Ppp1r11"
"193","Eme2"
"194","Rnf40"
"195","Usp16"
"196","Eif3j1"
"197","Usp33"
"198","Supt6"
"199","Abcf1"
"200","Nop14"
"201","Nemf"
"202","Ebna1bp2"
"203","Supt5"
"204","Kat2a"
"205","Rsl1d1"
"206","Ftsj3"
"207","Tfrc"
"208","Atp2a2"
"209","Nus1"
"210","C2cd2l"
"211","Suco"
"212","Pum3"
"213","Rbm14"
"214","Ppp1r14b"
"215","Sfpq"
"216","Chd1"
"217","Cd3eap"
"218","Gm14373"
"219","Larp4"
"220","Smarcad1"
"221","Gm8177"
"222","Med1"
"223","Gigyf2"
"224","Rbm27"
"225","Piga"
"226","Trmt61a"
"227","Max"
"228","Pik3r1"
"229","Tsku"
"230","Tut1"
"231","Ube2f"
"232","Id1"
"233",NA
"234","Mbnl2"
"235","Tnf"
"236","Hnrnpul2"
"237","Psmd7"
"238","Anp32e"
"239","Plaa"
"240","Zfp142"
"241","Ywhag"
"242","Hapln1"
"243","Cbx4"
"244","Ccdc59"
"245","Idh3a"
"246","Ankrd17"
"247","Jrkl"
"248","Cct3"
"249","Hspb8"
"250","Msantd4"
"251","Ppat"
"252","Polr1a"
"253","Nags"
"254","Phrf1"
"255","Ptar1"
"256","Mavs"
"257","Dnm1l"
"258","Gm5511"
"259","Hsp90aa1"
"260","Gm5844"
"261","Gm12346"
"262","Gm15542"
"263","Gm7816"
"264","Gm6335"
"265","Hsph1"
"266","Dnaja1"
"267","Socs3"
"268","Ahsa2"
"269","Gm5067"
"270","Top1"
"271","Myc"
"272","Elavl1"
"273","Baz1b"
"274","Zbtb7b"
"275","Zfp397"
"276","Phlda1"
"277","Tmem33"
"278","Foxq1"
"279","Atxn2l"
"280","Chordc1"
"281","Stip1"
"282","Gm45495"
"283","Zfp93"
"284","Phax"
"285","Gm44428"
"286","4933431C10Rik"
"287","Gm28791"
"288","Mocs3"
"289","Proser1"
"290","1700023H06Rik"
"291","2810402E24Rik"
"292","Diablo"
"293","Zbtb32"
"294","4921531C22Rik"
"295","Psmc4"
"296","Psmb4"
"297","Pla2g12a"
"298","Gas5"
"299","Gm47257"
"300","Rab36"
"301","Gm15777"
"302","4732471J01Rik"
"303","Zfp345"
"304","Lrp11"
"305","Zkscan7"
"306","Fam83h"
"307","C330018D20Rik"
"308","C130013H08Rik"
"309","Zfhx2"
"310","Zyx"
"311","Gm8982"
"312","Fam219a"
"313","Elac1"
"314","Hmgn2"
"315","A730036I17Rik"
"316","2410022M11Rik"
"317","Wdr83"
"318","Gm7278"
"319","Gm9260"
"320","Odc1"
"321","Gm7993"
"322","Gm17709"
"323","Bicra"
"324","Tha1"
"325","Gm9115"
"326","Rps7-ps2"
"327","Nfic"
"328","Hmgb2"
"329","Neat1"
"330","Vps52"
"331","Nol3"
"332","Dctn1"
"333","Plekho1"
"334","AI506816"
"335","Gm48275"
"336","Gm42428"
"337","Gm43305"
"338",NA
"339","Gm42031"
"340","Chd9"
"341","Cnbd2"
"342","Gm10524"
"343","Gm4316"
"344","Gm46223"
"345","Miga1"
"346","Lepr"
"347","Gm32856"
"348","Epha2"
"349","Dgkh"
"350","Trib1"
"351","Mea1"
"352","Mpzl3"
"353","Arg2"
"354","4930534H03Rik"
"355","Speer5-ps1"
"356","Nudc"
"357","Gm11957"
"358","Gm13498"
"359","Hspd1"
"360","Aldoa"
"361","Hspe1"
"362","Gm10254"
"363","Atg16l1"
"364","Tra2b"
"365","Timm10"
"366","Slc18a1"
"367","Rsrc2"
"368","Gm7556"
"369","Hyal1"
"370","Gm5276"
"371","Zc3h13"
"372","Psmd6"
"373","Cct2"
"374","Bcl6b"
"375","Gm29443"
"376","Egfl7"
"377","Nos3"
"378","Gm38372"
"379","Ntrk1"
"380","Arl5c"
"381","Gm4890"
"382","Srxn1"
"383","Zfp612"
"384","Nkiras1"
"385","Kdm6b"
"386","Coa4"
"387","Ldha-ps2"
"388","Gm14470"
"389","Ldha"
"390","Gm15707"
"391","Bcl9l"
"392","Vnn1"
"393","Mgll"
"394","Adamts1"
"395","Il1a"
"396","Peg3"
"397","Gm37238"
"398","Fmr1nb"
"399","Supt7l"
"400","Ppp1r18"
"401","Tuba8"
"402","Malat1"
"403","Gm15879"
"404","6430511E19Rik"
"405","Eif3k"
"406","Tra2a"
"407","Pafah1b1"
"408","Rslcan18"
"409","Nfkbid"
"410","Senp8"
"411","Pmaip1"
"412","Ppl"
"413","Gm6085"
"414","Ahsa1"
"415","Trmt1l"
"416","Zfp213"
"417","Zfp617"
"418","Gm18180"
"419","Gm9817"
"420","Hspb1"
"421","Hsp25-ps1"
"422","Samd4b"
"423","Gm7198"
"424","Hsp90ab1"
"425","Cxcl2"
"426","Cldnd1"
"427","Zfp691"
"428","BC006965"
"429","Ubac1"
"430","Gm6368"
"431","Hba-a2"
"432","Hba-a1"
"433","Hbb-bt"
"434","Hbb-bs"
"435","Zcchc2"
"436","Cd83"
"437","Dnajb2"
"438","Erc1"
"439","Gm48274"
"440","Gm21168"
"441","Ticam1"
"442","Cct7"
"443","Nploc4"
"444","Arhgef5"
"445","Gm12291"
"446","Katnal1"
"447","Polr3a"
"448","Flywch1"
"449","Lysmd2"
"450","Irf2bpl"
"451","Six5"
"452","Eps15l1"
"453","Ube2o"
"454","Sox18"
"455","Pim1"
"456","Gadd45a"
"457","Gm26885"
"458","Nfya"
"459","Wipf3"
"460","Gm45902"
"461","Wnt9b"
"462","Gm19938"
"463","Hccs"
"464","Gm39139"
"465","Zgpat"
"466","Gm48697"
"467","Fam102a"
"468","Lrrc41"
"469","Cacna2d4"
"470","Prmt6"
"471","Psmc2"
"472","2010003K11Rik"
"473","Psmc3"
"474","Clpp"
"475","Psmd3"
"476","Nsfl1c"
"477","Hgs"
"478","Psmc5"
"479","Clasrp"
"480","Dnajc2"
"481","Osmr"
"482","Adrm1"
"483","Cltb"
"484","Ddx24"
"485","Kctd2"
"486","Gm7882"
"487","Zfyve16"
"488","Gm44662"
"489","Adamts4"
"490","Tlnrd1"
