"","x"
"307","Hmgcs1"
"308","Fdps"
"309","Gm48326"
"310","Gm5809"
"311","Extl2"
"312","Ccl9"
"313","Echdc1"
"314","Cyp4f14"
"315","Gpr155"
"316","Gstm3"
"317","Paox"
"318","Slc33a1"
"319","Gm19680"
"320","Gm10177"
"321","Asph"
"322","Acly"
"323","Gm5873"
"324","Gm8163"
"325","Slc25a17"
"326","Trhde"
"327","Dhcr7"
"328","Pmvk"
"329","Rdh11"
"330","Gm3571"
"331","Nsdhl"
"332","Gcat"
"333","1810008I18Rik"
"334","Tmem150a"
"335","Ptprf"
"336","Sort1"
"337","Hnf4aos"
"338","Plxnb2"
"339","Tmtc4"
"340","Fam78a"
"341","Gna14"
"342","Rab17"
"343","Clec14a"
"344","Zfp367"
"345","Myct1"
"346","Pdcd4"
"347","Dlc1"
"348","Fermt2"
"349","Arhgap29"
"350","Map3k4"
"351","Sema4a"
"352","Pms1"
"353","Slc13a3"
"354","Gm32872"
"355","Gsap"
"356","Serpina12"
"357","Gm9678"
"358","Gm19211"
"359","Gm19210"
"360","Hsd3b5"
"361","Gm4450"
"362","Gm10681"
"363","Hsd3b4"
"364","Acsm2"
"365","Selenbp2"
"366","Selenbp1"
"367","Hsd3b6"
"368","Hsd3b3"
"369","Cebpe"
"370","Gm18860"
"371","Capn5"
"372","Wdr19"
"373","Bik"
"374","Zc3h6"
"375","Atp2a3"
"376","Nhej1"
"377","Wdr91"
"378","Gm17511"
"379","Wdr81"
"380","Stat5a"
"381","Gpr17"
"382","Gm37864"
"383","Hdac5"
"384","Gm43189"
"385","Bicral"
"386","Rab23"
"387","Eepd1"
"388","Arap1"
"389","5031425F14Rik"
"390","Fzd6"
"391","Acpp"
"392","Gm12966"
"393","Slc35d2"
"394","Gpsm2"
"395","Hes6"
"396","Gm5182"
"397","Bcar3"
"398","Dclk3"
"399","Slc66a2"
"400","Ddx58"
"401","Lhfpl2"
"402","Trim12c"
"403","Tnfsf10"
"404","Parp10"
"405","Tap1"
"406","Pcnx4"
"407","Bmf"
"408","Rnf152"
"409","Rgs12"
"410","Phldb2"
"411","Ptk6"
"412","Slc36a1"
"413","Mlh3"
"414","Cyp2u1"
"415","Carmil1"
"416","Nr2f2"
"417","Grb7"
"418","Casp7"
"419","Gm6153"
"420","Gm15443"
"421","Lgr4"
"422","Ces2g"
"423","Slc46a3"
"424","F11"
"425","Gm36435"
"426","Txn-ps1"
"427","Rnf181"
"428","Gm11575"
"429","Gm5884"
"430","Gm7399"
"431","Slc28a2"
"432","Tmem140"
"433","Rgl1"
"434","Tmco6"
"435","1810034E14Rik"
"436","Rasa3"
"437","Tut4"
"438","Asap1"
"439","Apol7a"
"440","Apol7c"
"441","Prkd3"
"442","Slc2a9"
"443","Slc23a2"
"444","Kdr"
"445","Klhl5"
"446","Cited2"
"447","Nlrx1"
"448","Slc22a4"
