"","x"
"1","Engase"
"2","Gm20628"
"3","Gm42879"
"4","Tlr12"
"5","Ocrl"
"6","Prrg4"
"7","Mppe1"
"8","Lama4"
"9","Fam187b"
"10","Pdgfa"
"11","Thap3"
"12","Gm38345"
"13","6330403L08Rik"
"14","Rapgef1"
"15","Tbcc"
"16","1700052K11Rik"
"17","Dnajc30"
"18","Adat2"
"19","Cep78"
"20","Haus8"
"21","Bbs10"
"22","E130311K13Rik"
"23","Tctn3"
"24","9330102E08Rik"
"25","Kxd1"
"26","Meak7"
"27","Stbd1"
"28","Ripor2"
"29","Ttbk1"
"30","H1f3"
"31","L3mbtl3"
"32","Kalrn"
"33","Vamp1"
"34","Tfcp2l1"
"35","Parp2"
"36","Irak1bp1"
"37","Hnf1b"
"38","Dchs1"
"39","Dennd1c"
"40","St3gal3"
"41","Zfp266"
"42","Zfp710"
"43","Trim56"
"44","1700001L05Rik"
"45","Dmap1"
"46","5930430L01Rik"
"47","BC029722"
"48","Trub2"
"49","Tbrg1"
"50","Pspc1"
"51","Gm19619"
"52","Aimp1"
"53","Plgrkt"
"54","Nub1"
"55","Fgr"
"56","Hspa14"
"57","Abracl"
"58","Arpin"
"59","Treml4"
"60","Thada"
"61","Gtpbp3"
"62","Zfp810"
"63","Tab1"
"64","Mcam"
"65","Heg1"
"66","Swsap1"
"67","Gnat1"
"68","Irak4"
"69","Zfp407"
"70","Fahd1"
"71","Zfp449"
"72","Pcsk4"
"73","Wdr5b"
"74","Dact2"
"75","Thoc5"
"76","Ambra1"
"77","Dph7"
"78","Dbp"
"79","Per3"
"80","Bhlhe41"
"81","Pla2g15"
"82","Esr1"
"83","Trmt2a"
"84","Usp40"
"85","Litaf"
"86","Fez2"
"87","Inhbe"
"88","Alkbh2"
"89","Aen"
"90","Lrrc14"
"91","AU041133"
"92","Alyref2"
"93","2810021J22Rik"
"94","Pogz"
"95","Zfp955b"
"96","Ywhah"
"97","Kank2"
"98","Ncor2"
"99","Jade1"
"100","Zfp595"
"101","Sgsh"
"102","Ttc30a1"
"103","Rarg"
"104","Rnf114"
"105","Zfp518a"
"106","Dll1"
"107","2610008E11Rik"
"108","Arhgef15"
"109","Tle3"
"110","2310043M15Rik"
"111","Irak2"
"112","Srf"
"113","Tns2"
"114","Zfp759"
"115","Zfp729b"
"116","BC024063"
"117","Zfp729a"
"118","Hp"
"119","Wnt5b"
"120","Nckipsd"
"121","Ang"
"122","Lrg1"
"123","Mindy1"
"124","Pycr2"
"125","Crb3"
"126","Lad1"
"127","Ccdc66"
"128","Wee1"
"129","Zkscan8"
"130","Tnip1"
"131","Gm15408"
"132","Smad6"
"133","Tmpo"
"134","Rai1"
"135","Myo1c"
"136","Rbck1"
"137","Ogt"
"138","Jrk"
"139","Nr1h4"
"140","Cd2bp2"
"141","Synpo"
"142","Cyb5d1"
"143","Colgalt2"
"144","Gm45819"
"145","Esrp2"
"146","Krt18"
"147","Tkfc"
"148","Spns2"
"149","Zfp608"
"150","Endod1"
"151","Klhdc8a"
"152","Krba1"
"153","Zbtb37"
"154","Thnsl1"
"155","Tspyl5"
"156","Gm42653"
"157","Gm20546"
"158","BC021767"
"159","Gm10033"
"160","Frmd8"
"161","Klhdc7a"
"162","Xirp1"
"163","Lyrm9"
"164","Hfm1"
"165","Sox13"
"166","1700003E16Rik"
"167","Zfp697"
"168","Adgre5"
"169","Lpgat1"
"170","Mid1"
"171","Synj2"
"172","Nav2"
"173","Inf2"
"174","Ltbr"
"175","Nrde2"
"176","Ajuba"
"177","Tmem125"
"178","Gpr146"
"179","Gm3055"
"180","Zfp781"
"181","Saa4"
