"","x"
"1","RIDA"
"2","RPS6KB2"
"3","ACTN1"
"4","SEC22C"
"5","MAPK1"
"6","M6PR"
"7","GALNT2"
"8","SNX7"
"9","MIS18BP1"
"10","VPS13C"
"11","UBAP2L"
"12","NUP85"
"13","DNAJC9"
"14","GPR107"
"15","RBBP4"
"16","CLTC"
"17","TDP1"
"18","ACAP2"
"19","TFDP1"
"20","EMC1"
"21","ELAC2"
"22","AP3B1"
"23","EXOC2"
"24","DPY19L1"
"25","IDE"
"26","TMEM181"
"27","PRKAR2A"
"28","ANKH"
"29","SND1"
"30","C1GALT1C1"
"31","RPN2"
"32","DNAJA3"
"33","RNF26"
"34","H2AZ2"
"35","ARMH3"
"36","NCAPD3"
"37","ALG1"
"38","AP2M1"
"39","UGGT1"
"40","NCAPD2"
"41","TUBGCP5"
"42","CKAP5"
"43","ICMT"
"44","PRKDC"
"45","PRPF8"
"46","MAPKAPK3"
"47","AKT1"
"48","CANX"
"49","KDELR1"
"50","URM1"
"51","RBBP7"
"52","GLYR1"
"53","MGME1"
"54","SLC9A6"
"55","IPO9"
"56","DNAJC13"
"57","GANAB"
"58","IPO11"
"59","MAPK9"
"60","SLC35B4"
"61","ENOX2"
"62","SCIMP"
"63","RRM1"
"64","EXOC6"
"65","AKTIP"
"66","ZDHHC2"
"67","NSF"
"68","IMMT"
"69","SLC17A5"
"70","POGLUT3"
"71","SUMO3"
"72","RCN2"
"73","CKS1B"
"74","P4HB"
"75","TMTC3"
"76","PSMB5"
"77","SEC16A"
"78","CYFIP1"
"79","SLC35B2"
"80","TRPC4AP"
"81","MYO1C"
"82","CARM1"
"83","EFTUD2"
"84","ELOVL1"
"85","VOPP1"
"86","CDC25B"
"87","PACSIN2"
"88","MYO19"
"89","LYPLA2"
"90","SLC35C1"
"91","PPP2R1A"
"92","VARS1"
"93","HNRNPUL1"
"94","GRK3"
"95","USP5"
"96","SCAMP4"
"97","NCSTN"
"98","FKBP9"
"99","CUL4B"
"100","ATP6AP1"
"101","TGOLN2"
"102","SCARB1"
"103","AP2A1"
"104","GNS"
"105","SMC1A"
"106","SNX17"
"107","NOMO1"
"108","FITM2"
"109","ABHD12"
"110","SLC4A2"
"111","PLBD2"
"112","AP1B1"
"113","DNM2"
"114","MVP"
"115","PLOD3"
"116","TOR2A"
"117","OLFML2B"
"118","CKAP2"
"119","TUBG1"
"120","CSK"
"121","ALG3"
"122","HEATR3"
"123","CLCC1"
"124","DPP3"
"125","NCLN"
"126","TRAF7"
"127","CABIN1"
"128","DEPDC1"
"129","SPC24"
"130","ESCO2"
"131","KIF20A"
"132","BUB1B"
"133","EVI5L"
"134","PRKACA"
"135","POC1A"
"136","PIAS3"
"137","NCAPG2"
"138","PAPSS1"
"139","NEMP1"
"140","G6PC3"
"141","CENPM"
"142","GINS1"
"143","E2F8"
"144","TTF2"
"145","SPDL1"
"146","AMMECR1"
"147","CPSF3"
"148","RHNO1"
"149","RPA1"
"150","XPO7"
"151","POLA1"
"152","ALOX5"
"153","FNDC10"
"154","LILRA2"
"155","CLEC7A"
"156","LPCAT2"
"157","SELENON"
"158","EIF4G3"
"159","PTPRO"
"160","KCNK13"
"161","FKBP15"
"162","RPS6KA1"
"163","GRK2"
"164","GMIP"
"165","DNMT1"
"166","HK3"
"167","TTC13"
"168","PLPPR2"
"169","ARMC7"
"170","ZWILCH"
"171","INTS9"
"172","DTYMK"
"173","UBE2T"
"174","MMS22L"
"175","MCM5"
"176","FAM111B"
"177","ASF1B"
"178","POLD1"
"179","DBNL"
"180","RFC3"
"181","TTYH3"
"182","NRM"
"183","FANCD2"
"184","EXO1"
"185","RECQL4"
"186","CENPU"
"187","SPC25"
"188","TCF19"
"189","RAD51AP1"
"190","DCK"
"191","CD84"
"192","B9D1"
"193","SKA2"
"194","SMC2"
"195","DSN1"
"196","RBL1"
"197","UCP2"
"198","LIG1"
"199","KNTC1"
"200","DDIAS"
"201","KIF20B"
"202","EIF4EBP1"
"203","PRXL2B"
"204","TMEM214"
"205","GIPC1"
"206","PHF19"
"207","SLC12A4"
"208","HASPIN"
"209","NUP93"
"210","PYGB"
"211","INCENP"
"212","SYNGR2"
"213","NDC1"
"214","SLC38A7"
"215","MYO5C"
"216","GTPBP3"
"217","TRIP13"
"218","SKA3"
"219","KIF2C"
"220","UBE2C"
"221","NCAPH"
"222","DNMT3A"
"223","SGO1"
"224","HROB"
"225","RRM2"
"226","TK1"
"227","WDR62"
"228","PKMYT1"
"229","CKAP2L"
"230","ARHGAP11A"
"231","ASPM"
"232","TTK"
"233","TPX2"
"234","KIF18B"
"235","KIF4A"
"236","NCAPG"
"237","MELK"
"238","BIRC5"
"239","ANLN"
"240","RACGAP1"
"241","HJURP"
"242","CCNF"
"243","DPAGT1"
"244","TICRR"
"245","AURKB"
"246","NEK2"
"247","NDC80"
"248","CDCA3"
"249","BUB1"
"250","FOXM1"
"251","CCNB2"
"252","MYBL2"
"253","SIGLEC12"
"254","TACC3"
"255","CDK1"
"256","PBK"
"257","PRR11"
"258","TOP2A"
"259","CENPE"
"260","CEP55"
"261","PLK4"
"262","ERCC6L"
"263","NEIL3"
"264","TRAIP"
"265","CENPI"
"266","SGO2"
"267","MAD2L1"
"268","KIF11"
"269","NUF2"
"270","POLQ"
"271","KIF18A"
"272","CDCA5"
"273","PARPBP"
"274","STMN1"
"275","FANCI"
"276","ZWINT"
