"","AD_logFC","AD_FDR","AL_logFC","AL_FDR","AS_logFC","AS_FDR","DL_logFC","DL_FDR","DS_logFC","DS_FDR","LS_logFC","LS_FDR"
"1",2.23038191604423,0.0675951178561382,-2.18536799841721,0.000101497952469733,-2.50861200695679,5.25736113644649e-06,-4.41574991446144,2.4278893032014e-07,-4.73899392300101,2.4278893032014e-07,-0.323244008539577,1
"2",3.79378475626463,2.22555000888806e-47,1.40586710940284,5.8983407840637e-10,1.4550339711089,1.47291528390598e-10,-2.38791764686178,2.41535200630597e-19,-2.33875078515572,2.41535200630597e-19,0.049166861706058,1
"3",-0.309549364678831,0.162049089220545,-0.537558782312967,0.0144145177880908,-0.755241457398997,0.00044659125003721,-0.228009417634136,0.0442830036003747,-0.445692092720166,0.0442830036003747,-0.21768267508603,1
"4",-1.38937210161254,4.56796036068181e-05,-1.28916617818438,0.000121039264464446,-1.49259617532557,7.334120012448e-06,0.100205923428162,0.779646256690217,-0.103224073713035,0.779646256690217,-0.203429997141197,1
"5",0.71071227431275,0.00163251946078979,0.255367254107366,0.28127904411771,0.320303047387747,0.170380574639993,-0.455345020205385,0.0986470326556129,-0.390409226925004,0.0986470326556129,0.0649357932803811,1
"6",-0.901217873836412,2.84953172862972e-05,-0.0979231497728515,0.70028506998322,-0.0276120743756974,0.919942554149832,0.803294724063561,5.59169190346873e-05,0.873605799460714,5.59169190346873e-05,0.0703110753971541,1
"7",2.10363689603697,3.04838880088864e-21,1.32540699087873,7.55904717874505e-10,1.27238935483122,3.45313423927069e-09,-0.77822990515824,0.000245789873283075,-0.831247541205751,0.000245789873283075,-0.0530176360475108,1
"8",-0.605988814223528,0.0130765519635714,-0.354280025325128,0.166545260328669,-0.48717149367511,0.0514389088809866,0.2517087888984,0.655788976122995,0.118817320548418,0.655788976122995,-0.132891468349982,1
"9",-4.65273938023118,1.99876228049781e-26,-1.31081313075016,0.014657863420928,-1.17280958196285,0.0327532454257366,3.34192624948101,4.73665119040717e-20,3.47992979826832,4.73665119040717e-20,0.13800354878731,1
"10",0.512762522339638,0.00841400265717969,-0.193937912438339,0.360558689167327,-0.285685049957917,0.165204117601293,-0.706700434777977,4.38981981396819e-05,-0.798447572297555,4.38981981396819e-05,-0.0917471375195781,1
"11",-0.165483457254687,0.822166676874117,-1.19037443211582,0.020227360252211,-0.87125734530991,0.106685584118615,-1.02489097486113,0.277521602216191,-0.705773888055223,0.277521602216191,0.319117086805908,1
"12",2.96822002855392,1.31490802437431e-17,1.16736269211786,0.000227129143104474,1.11072161074086,0.000466070523250381,-1.80085733643606,1.14742890731088e-07,-1.85749841781306,1.14742890731088e-07,-0.0566410813769987,1
"13",-2.9053312049821,2.09754150453558e-29,-0.25224208835192,0.37712946538522,0.100030498737214,0.746892116840964,2.65308911663018,9.06085455540487e-31,3.00536170371932,9.06085455540487e-31,0.352272587089134,1
"14",-5.41810676526332,7.04712744229708e-25,-0.4092357544594,0.623794656615298,0.646857695608657,0.48225198252609,5.00887101080392,1.57205530809705e-29,6.06496446087198,1.57205530809705e-29,1.05609345006806,1
"15",0.088405793342585,0.796775163424112,0.135646182490864,0.712934156370215,0.76703169869776,0.0180414050812335,0.0472403891482789,0.0402502362139366,0.678625905355175,0.0402502362139366,0.631385516206896,0.543938530543261
"16",-3.02441787251752,0.000228757667042083,-0.0967697243416381,0.937032682924786,-1.49814044442678,0.0918291530349367,2.92764814817588,0.0283186210510937,1.52627742809074,0.0283186210510937,-1.40137072008515,0.717656466999148
"17",1.17989062643028,4.10045648029023e-06,0.472137721071956,0.0443682237793496,0.428613276795228,0.0702871624648704,-0.70775290535832,0.00474635502330562,-0.751277349635048,0.00474635502330562,-0.0435244442767283,1
"18",-1.46529004444664,1.14041532211012e-07,-0.877447374613361,0.00188789366990413,-1.74639779178661,2.1440450531897e-10,0.58784266983328,0.332660573752795,-0.281107747339964,0.332660573752795,-0.868950417173245,0.0371204245384929
"19",-1.07002657914816,1.16013706315845e-09,0.619975531189542,0.000699276156484603,0.409965906878534,0.0288989730316307,1.6900021103377,9.1005811571373e-17,1.4799924860267,9.1005811571373e-17,-0.210009624311008,1
"20",-5.53591351051519,2.66559523335487e-19,-2.27128078300465,0.000515261830007071,-1.40655519677934,0.0464533673258819,3.26463272751054,3.63416892459068e-14,4.12935831373585,3.63416892459068e-14,0.864725586225308,0.983390846654364
"21",-0.547862765890295,0.00349039141690344,-0.446869451433771,0.0209239170599841,-0.338355492004818,0.0878873023822898,0.100993314456524,0.294908290679613,0.209507273885477,0.294908290679613,0.108513959428953,1
"22",-1.42171355127389,0.0597958142396107,1.10974130048298,0.185700983704215,0.961473531259614,0.252298554857366,2.53145485175688,0.00239956662391059,2.38318708253351,0.00239956662391059,-0.14826776922337,1
"23",-3.65092029743275,4.46669156402001e-05,-5.56481748012587,8.41201517450967e-13,-6.05561210464166,5.23146731920924e-15,-1.91389718269311,0.000151907021617046,-2.4046918072089,0.000151907021617046,-0.490794624515789,1
"24",-0.431175749229317,0.0638159057006329,-0.235157142704882,0.347540746009662,-0.311615354462106,0.2036289733111,0.196018606524435,0.635409515202537,0.119560394767211,0.635409515202537,-0.0764582117572242,1
"25",-1.94504109797296,1.80403615876475e-05,-1.16284398949758,0.0110690397802962,-0.924800860445918,0.0491573541003058,0.782197108475377,0.0200589820374947,1.02024023752704,0.0200589820374947,0.238043129051661,1
